ocel_id,ocel_type
event:52,Approve Purchase Order
event:62,Approve Purchase Order
event:64,Approve Purchase Order
event:87,Approve Purchase Order
event:100,Approve Purchase Order
event:111,Approve Purchase Order
event:112,Approve Purchase Order
event:124,Approve Purchase Order
event:154,Approve Purchase Order
event:169,Approve Purchase Order
event:172,Approve Purchase Order
event:174,Approve Purchase Order
event:220,Approve Purchase Order
event:248,Approve Purchase Order
event:254,Approve Purchase Order
event:288,Approve Purchase Order
event:289,Approve Purchase Order
event:290,Approve Purchase Order
event:296,Approve Purchase Order
event:298,Approve Purchase Order
event:344,Approve Purchase Order
event:358,Approve Purchase Order
event:370,Approve Purchase Order
event:375,Approve Purchase Order
event:415,Approve Purchase Order
event:421,Approve Purchase Order
event:455,Approve Purchase Order
event:460,Approve Purchase Order
event:467,Approve Purchase Order
event:473,Approve Purchase Order
event:479,Approve Purchase Order
event:483,Approve Purchase Order
event:534,Approve Purchase Order
event:537,Approve Purchase Order
event:542,Approve Purchase Order
event:596,Approve Purchase Order
event:610,Approve Purchase Order
event:651,Approve Purchase Order
event:681,Approve Purchase Order
event:732,Approve Purchase Order
event:734,Approve Purchase Order
event:738,Approve Purchase Order
event:741,Approve Purchase Order
event:744,Approve Purchase Order
event:748,Approve Purchase Order
event:814,Approve Purchase Order
event:845,Approve Purchase Order
event:848,Approve Purchase Order
event:860,Approve Purchase Order
event:866,Approve Purchase Order
event:890,Approve Purchase Order
event:891,Approve Purchase Order
event:892,Approve Purchase Order
event:893,Approve Purchase Order
event:937,Approve Purchase Order
event:981,Approve Purchase Order
event:983,Approve Purchase Order
event:988,Approve Purchase Order
event:997,Approve Purchase Order
event:999,Approve Purchase Order
event:1007,Approve Purchase Order
event:1009,Approve Purchase Order
event:1154,Approve Purchase Order
event:1159,Approve Purchase Order
event:1194,Approve Purchase Order
event:1195,Approve Purchase Order
event:1239,Approve Purchase Order
event:1244,Approve Purchase Order
event:1258,Approve Purchase Order
event:1266,Approve Purchase Order
event:1279,Approve Purchase Order
event:1280,Approve Purchase Order
