ocel_id,ocel_time,lifecycle,resource
event:52,2022-04-07T17:28:00.000Z,complete,Procurement Order Manager
event:62,2022-04-08T22:07:00.000Z,complete,Procurement Order Manager
event:64,2022-04-09T08:41:00.000Z,complete,Procurement Order Manager
event:87,2022-04-11T11:00:00.000Z,complete,Procurement Order Manager
event:100,2022-04-11T19:13:00.000Z,complete,Procurement Order Manager
event:111,2022-04-12T12:09:00.000Z,complete,Procurement Order Manager
event:112,2022-04-12T20:15:00.000Z,complete,Procurement Order Manager
event:124,2022-04-13T11:46:00.000Z,complete,Procurement Order Manager
event:154,2022-04-15T11:53:00.000Z,complete,Procurement Order Manager
event:169,2022-04-16T00:52:00.000Z,complete,Procurement Order Manager
event:172,2022-04-16T09:41:00.000Z,complete,Procurement Order Manager
event:174,2022-04-16T10:56:00.000Z,complete,Procurement Order Manager
event:220,2022-04-18T17:22:00.000Z,complete,Procurement Order Manager
event:248,2022-04-20T14:08:00.000Z,complete,Procurement Order Manager
event:254,2022-04-20T21:12:00.000Z,complete,Procurement Order Manager
event:288,2022-04-23T05:21:00.000Z,complete,Procurement Order Manager
event:289,2022-04-23T11:34:00.000Z,complete,Procurement Order Manager
event:290,2022-04-23T11:44:00.000Z,complete,Procurement Order Manager
event:296,2022-04-24T14:34:00.000Z,complete,Procurement Order Manager
event:298,2022-04-24T18:12:00.000Z,complete,Procurement Order Manager
event:344,2022-04-25T19:02:00.000Z,complete,Procurement Order Manager
event:358,2022-04-26T11:51:00.000Z,complete,Procurement Order Manager
event:370,2022-04-27T08:07:00.000Z,complete,Procurement Order Manager
event:375,2022-04-27T08:55:00.000Z,complete,Procurement Order Manager
event:415,2022-04-28T15:54:00.000Z,complete,Procurement Order Manager
event:421,2022-04-29T05:32:00.000Z,complete,Procurement Order Manager
event:455,2022-04-29T14:58:00.000Z,complete,Procurement Order Manager
event:460,2022-04-29T16:58:00.000Z,complete,Procurement Order Manager
event:467,2022-04-30T02:18:00.000Z,complete,Procurement Order Manager
event:473,2022-04-30T07:59:00.000Z,complete,Procurement Order Manager
event:479,2022-04-30T17:35:00.000Z,complete,Procurement Order Manager
event:483,2022-05-01T06:26:00.000Z,complete,Procurement Order Manager
event:534,2022-05-02T14:08:00.000Z,complete,Procurement Order Manager
event:537,2022-05-02T17:25:00.000Z,complete,Procurement Order Manager
event:542,2022-05-02T19:48:00.000Z,complete,Procurement Order Manager
event:596,2022-05-03T14:18:00.000Z,complete,Procurement Order Manager
event:610,2022-05-04T02:00:00.000Z,complete,Procurement Order Manager
event:651,2022-05-04T19:01:00.000Z,complete,Procurement Order Manager
event:681,2022-05-05T17:49:00.000Z,complete,Procurement Order Manager
event:732,2022-05-07T07:22:00.000Z,complete,Procurement Order Manager
event:734,2022-05-07T12:36:00.000Z,complete,Procurement Order Manager
event:738,2022-05-07T20:53:00.000Z,complete,Procurement Order Manager
event:741,2022-05-08T02:09:00.000Z,complete,Procurement Order Manager
event:744,2022-05-08T09:38:00.000Z,complete,Procurement Order Manager
event:748,2022-05-08T14:34:00.000Z,complete,Procurement Order Manager
event:814,2022-05-09T19:40:00.000Z,complete,Procurement Order Manager
event:845,2022-05-10T11:28:00.000Z,complete,Procurement Order Manager
event:848,2022-05-10T14:09:00.000Z,complete,Procurement Order Manager
event:860,2022-05-10T19:35:00.000Z,complete,Procurement Order Manager
event:866,2022-05-11T04:06:00.000Z,complete,Procurement Order Manager
event:890,2022-05-11T22:16:00.000Z,complete,Procurement Order Manager
event:891,2022-05-11T23:25:00.000Z,complete,Procurement Order Manager
event:892,2022-05-11T23:37:00.000Z,complete,Procurement Order Manager
event:893,2022-05-12T02:38:00.000Z,complete,Procurement Order Manager
event:937,2022-05-12T14:26:00.000Z,complete,Procurement Order Manager
event:981,2022-05-13T17:32:00.000Z,complete,Procurement Order Manager
event:983,2022-05-14T03:16:00.000Z,complete,Procurement Order Manager
event:988,2022-05-14T07:28:00.000Z,complete,Procurement Order Manager
event:997,2022-05-15T00:41:00.000Z,complete,Procurement Order Manager
event:999,2022-05-15T05:52:00.000Z,complete,Procurement Order Manager
event:1007,2022-05-15T22:24:00.000Z,complete,Procurement Order Manager
event:1009,2022-05-16T00:27:00.000Z,complete,Procurement Order Manager
event:1154,2022-05-18T00:39:00.000Z,complete,Procurement Order Manager
event:1159,2022-05-18T04:45:00.000Z,complete,Procurement Order Manager
event:1194,2022-05-19T00:25:00.000Z,complete,Procurement Order Manager
event:1195,2022-05-19T01:05:00.000Z,complete,Procurement Order Manager
event:1239,2022-05-19T16:31:00.000Z,complete,Procurement Order Manager
event:1244,2022-05-19T19:33:00.000Z,complete,Procurement Order Manager
event:1258,2022-05-20T14:43:00.000Z,complete,Procurement Order Manager
event:1266,2022-05-20T20:08:00.000Z,complete,Procurement Order Manager
event:1279,2022-05-22T18:24:00.000Z,complete,Procurement Order Manager
event:1280,2022-05-22T20:32:00.000Z,complete,Procurement Order Manager
event:1322,2022-05-23T09:02:00.000Z,complete,Procurement Order Manager
event:1339,2022-05-23T17:53:00.000Z,complete,Procurement Order Manager
event:1363,2022-05-24T09:20:00.000Z,complete,Procurement Order Manager
event:1368,2022-05-24T12:35:00.000Z,complete,Procurement Order Manager
event:1403,2022-05-25T07:46:00.000Z,complete,Procurement Order Manager
event:1413,2022-05-25T10:47:00.000Z,complete,Procurement Order Manager
event:1421,2022-05-25T14:16:00.000Z,complete,Procurement Order Manager
event:1484,2022-05-27T07:21:00.000Z,complete,Procurement Order Manager
event:1499,2022-05-27T15:21:00.000Z,complete,Procurement Order Manager
event:1509,2022-05-28T06:59:00.000Z,complete,Procurement Order Manager
event:1515,2022-05-28T16:21:00.000Z,complete,Procurement Order Manager
event:1517,2022-05-28T17:27:00.000Z,complete,Procurement Order Manager
event:1518,2022-05-28T18:16:00.000Z,complete,Procurement Order Manager
event:1520,2022-05-29T00:19:00.000Z,complete,Procurement Order Manager
event:1522,2022-05-29T01:47:00.000Z,complete,Procurement Order Manager
event:1530,2022-05-29T11:41:00.000Z,complete,Procurement Order Manager
event:1531,2022-05-29T22:03:00.000Z,complete,Procurement Order Manager
event:1532,2022-05-29T23:41:00.000Z,complete,Procurement Order Manager
event:1606,2022-05-30T16:54:00.000Z,complete,Procurement Order Manager
event:1609,2022-05-30T19:10:00.000Z,complete,Procurement Order Manager
event:1610,2022-05-30T20:01:00.000Z,complete,Procurement Order Manager
event:1615,2022-05-30T23:19:00.000Z,complete,Procurement Order Manager
event:1637,2022-05-31T11:17:00.000Z,complete,Procurement Order Manager
event:1640,2022-05-31T11:34:00.000Z,complete,Procurement Order Manager
event:1652,2022-05-31T19:34:00.000Z,complete,Procurement Order Manager
event:1694,2022-06-01T20:48:00.000Z,complete,Procurement Order Manager
event:1699,2022-06-02T02:55:00.000Z,complete,Procurement Order Manager
event:1714,2022-06-02T07:44:00.000Z,complete,Procurement Order Manager
event:1727,2022-06-02T10:45:00.000Z,complete,Procurement Order Manager
event:1744,2022-06-02T19:51:00.000Z,complete,Procurement Order Manager
event:1770,2022-06-04T03:26:00.000Z,complete,Procurement Order Manager
event:1771,2022-06-04T03:38:00.000Z,complete,Procurement Order Manager
event:1776,2022-06-04T08:59:00.000Z,complete,Procurement Order Manager
event:1782,2022-06-04T18:57:00.000Z,complete,Procurement Order Manager
event:1784,2022-06-04T20:21:00.000Z,complete,Procurement Order Manager
event:1790,2022-06-05T12:22:00.000Z,complete,Procurement Order Manager
event:1847,2022-06-07T02:46:00.000Z,complete,Procurement Order Manager
event:1862,2022-06-07T07:23:00.000Z,complete,Procurement Order Manager
event:1921,2022-06-08T10:32:00.000Z,complete,Procurement Order Manager
event:2004,2022-06-10T03:10:00.000Z,complete,Procurement Order Manager
event:2006,2022-06-10T04:03:00.000Z,complete,Procurement Order Manager
event:2037,2022-06-11T11:06:00.000Z,complete,Procurement Order Manager
event:2042,2022-06-12T07:29:00.000Z,complete,Procurement Order Manager
event:2043,2022-06-12T10:58:00.000Z,complete,Procurement Order Manager
event:2044,2022-06-12T15:35:00.000Z,complete,Procurement Order Manager
event:2071,2022-06-13T14:17:00.000Z,complete,Procurement Order Manager
event:2075,2022-06-14T06:46:00.000Z,complete,Procurement Order Manager
event:2098,2022-06-15T02:46:00.000Z,complete,Procurement Order Manager
event:2132,2022-06-16T18:08:00.000Z,complete,Procurement Order Manager
event:2135,2022-06-16T22:49:00.000Z,complete,Procurement Order Manager
event:2159,2022-06-17T16:00:00.000Z,complete,Procurement Order Manager
event:2160,2022-06-17T19:13:00.000Z,complete,Procurement Order Manager
event:2167,2022-06-18T23:27:00.000Z,complete,Procurement Order Manager
event:2168,2022-06-19T00:11:00.000Z,complete,Procurement Order Manager
event:2169,2022-06-19T00:35:00.000Z,complete,Procurement Order Manager
event:2240,2022-06-20T16:43:00.000Z,complete,Procurement Order Manager
event:2282,2022-06-21T18:11:00.000Z,complete,Procurement Order Manager
event:2366,2022-06-23T09:08:00.000Z,complete,Procurement Order Manager
event:2381,2022-06-23T18:44:00.000Z,complete,Procurement Order Manager
event:2416,2022-06-24T09:41:00.000Z,complete,Procurement Order Manager
event:2425,2022-06-24T12:06:00.000Z,complete,Procurement Order Manager
event:2440,2022-06-25T01:58:00.000Z,complete,Procurement Order Manager
event:2442,2022-06-25T05:13:00.000Z,complete,Procurement Order Manager
event:2444,2022-06-25T10:38:00.000Z,complete,Procurement Order Manager
event:2446,2022-06-25T20:51:00.000Z,complete,Procurement Order Manager
event:2447,2022-06-26T05:14:00.000Z,complete,Procurement Order Manager
event:2448,2022-06-26T05:46:00.000Z,complete,Procurement Order Manager
event:2451,2022-06-26T10:26:00.000Z,complete,Procurement Order Manager
event:2455,2022-06-26T15:09:00.000Z,complete,Procurement Order Manager
event:2460,2022-06-27T00:17:00.000Z,complete,Procurement Order Manager
event:2485,2022-06-27T10:36:00.000Z,complete,Procurement Order Manager
event:2487,2022-06-27T17:23:00.000Z,complete,Procurement Order Manager
event:2510,2022-06-28T14:22:00.000Z,complete,Procurement Order Manager
event:2520,2022-06-28T21:23:00.000Z,complete,Procurement Order Manager
event:2522,2022-06-29T00:56:00.000Z,complete,Procurement Order Manager
event:2567,2022-06-29T17:34:00.000Z,complete,Procurement Order Manager
event:2671,2022-07-02T00:21:00.000Z,complete,Procurement Order Manager
event:2672,2022-07-02T03:25:00.000Z,complete,Procurement Order Manager
event:2675,2022-07-02T15:42:00.000Z,complete,Procurement Order Manager
event:2676,2022-07-02T17:33:00.000Z,complete,Procurement Order Manager
event:2677,2022-07-02T19:38:00.000Z,complete,Procurement Order Manager
event:2681,2022-07-03T13:22:00.000Z,complete,Procurement Order Manager
event:2682,2022-07-03T15:25:00.000Z,complete,Procurement Order Manager
event:2684,2022-07-03T22:01:00.000Z,complete,Procurement Order Manager
event:2724,2022-07-04T15:50:00.000Z,complete,Procurement Order Manager
event:2730,2022-07-05T06:17:00.000Z,complete,Procurement Order Manager
event:2750,2022-07-05T15:34:00.000Z,complete,Procurement Order Manager
event:2764,2022-07-06T08:51:00.000Z,complete,Procurement Order Manager
event:2845,2022-07-08T22:39:00.000Z,complete,Procurement Order Manager
event:2951,2022-07-12T22:48:00.000Z,complete,Procurement Order Manager
event:2952,2022-07-13T01:51:00.000Z,complete,Procurement Order Manager
event:2971,2022-07-13T12:45:00.000Z,complete,Procurement Order Manager
event:2976,2022-07-13T16:14:00.000Z,complete,Procurement Order Manager
event:2977,2022-07-13T16:32:00.000Z,complete,Procurement Order Manager
event:2982,2022-07-14T01:09:00.000Z,complete,Procurement Order Manager
event:2985,2022-07-14T02:44:00.000Z,complete,Procurement Order Manager
event:2986,2022-07-14T03:54:00.000Z,complete,Procurement Order Manager
event:3002,2022-07-14T21:14:00.000Z,complete,Procurement Order Manager
event:3022,2022-07-15T13:21:00.000Z,complete,Procurement Order Manager
event:3025,2022-07-15T15:51:00.000Z,complete,Procurement Order Manager
event:3027,2022-07-15T19:01:00.000Z,complete,Procurement Order Manager
event:3028,2022-07-15T19:44:00.000Z,complete,Procurement Order Manager
event:3032,2022-07-16T03:49:00.000Z,complete,Procurement Order Manager
event:3035,2022-07-16T13:36:00.000Z,complete,Procurement Order Manager
event:3040,2022-07-17T08:36:00.000Z,complete,Procurement Order Manager
event:3041,2022-07-17T09:08:00.000Z,complete,Procurement Order Manager
event:3043,2022-07-17T22:04:00.000Z,complete,Procurement Order Manager
event:3129,2022-07-18T19:43:00.000Z,complete,Procurement Order Manager
event:3132,2022-07-18T20:49:00.000Z,complete,Procurement Order Manager
event:3135,2022-07-19T00:53:00.000Z,complete,Procurement Order Manager
event:3137,2022-07-19T02:42:00.000Z,complete,Procurement Order Manager
event:3156,2022-07-19T09:02:00.000Z,complete,Procurement Order Manager
event:3160,2022-07-19T10:05:00.000Z,complete,Procurement Order Manager
event:3173,2022-07-19T20:18:00.000Z,complete,Procurement Order Manager
event:3178,2022-07-20T05:27:00.000Z,complete,Procurement Order Manager
event:3198,2022-07-20T07:16:00.000Z,complete,Procurement Order Manager
event:3226,2022-07-21T00:14:00.000Z,complete,Procurement Order Manager
event:3247,2022-07-21T10:39:00.000Z,complete,Procurement Order Manager
event:3271,2022-07-21T18:00:00.000Z,complete,Procurement Order Manager
event:3278,2022-07-22T02:10:00.000Z,complete,Procurement Order Manager
event:3299,2022-07-22T10:51:00.000Z,complete,Procurement Order Manager
event:3343,2022-07-23T19:56:00.000Z,complete,Procurement Order Manager
event:3365,2022-07-25T04:20:00.000Z,complete,Procurement Order Manager
event:3444,2022-07-25T12:51:00.000Z,complete,Procurement Order Manager
event:3446,2022-07-25T13:37:00.000Z,complete,Procurement Order Manager
event:3518,2022-07-26T17:28:00.000Z,complete,Procurement Order Manager
event:3519,2022-07-26T20:30:00.000Z,complete,Procurement Order Manager
event:3524,2022-07-26T23:31:00.000Z,complete,Procurement Order Manager
event:3530,2022-07-27T03:39:00.000Z,complete,Procurement Order Manager
event:3532,2022-07-27T05:35:00.000Z,complete,Procurement Order Manager
event:3534,2022-07-27T06:24:00.000Z,complete,Procurement Order Manager
event:3575,2022-07-27T14:26:00.000Z,complete,Procurement Order Manager
event:3615,2022-07-28T21:51:00.000Z,complete,Procurement Order Manager
event:3618,2022-07-29T05:29:00.000Z,complete,Procurement Order Manager
event:3649,2022-07-29T23:07:00.000Z,complete,Procurement Order Manager
event:3654,2022-07-30T03:53:00.000Z,complete,Procurement Order Manager
event:3672,2022-08-01T05:04:00.000Z,complete,Procurement Order Manager
event:3717,2022-08-01T11:07:00.000Z,complete,Procurement Order Manager
event:3734,2022-08-02T06:04:00.000Z,complete,Procurement Order Manager
event:3831,2022-08-05T02:53:00.000Z,complete,Procurement Order Manager
event:3872,2022-08-05T14:17:00.000Z,complete,Procurement Order Manager
event:3877,2022-08-05T20:01:00.000Z,complete,Procurement Order Manager
event:3883,2022-08-06T03:03:00.000Z,complete,Procurement Order Manager
event:3891,2022-08-06T16:41:00.000Z,complete,Procurement Order Manager
event:3899,2022-08-07T07:27:00.000Z,complete,Procurement Order Manager
event:3900,2022-08-07T12:05:00.000Z,complete,Procurement Order Manager
event:3905,2022-08-08T05:52:00.000Z,complete,Procurement Order Manager
event:3959,2022-08-09T02:40:00.000Z,complete,Procurement Order Manager
event:3985,2022-08-09T21:21:00.000Z,complete,Procurement Order Manager
event:3987,2022-08-09T23:27:00.000Z,complete,Procurement Order Manager
event:4009,2022-08-10T10:21:00.000Z,complete,Procurement Order Manager
event:4022,2022-08-10T15:17:00.000Z,complete,Procurement Order Manager
event:4051,2022-08-11T20:09:00.000Z,complete,Procurement Order Manager
event:4054,2022-08-12T04:57:00.000Z,complete,Procurement Order Manager
event:4079,2022-08-12T20:17:00.000Z,complete,Procurement Order Manager
event:4084,2022-08-13T08:10:00.000Z,complete,Procurement Order Manager
event:4092,2022-08-13T23:31:00.000Z,complete,Procurement Order Manager
event:4094,2022-08-14T08:19:00.000Z,complete,Procurement Order Manager
event:4173,2022-08-16T06:54:00.000Z,complete,Procurement Order Manager
event:4208,2022-08-16T12:35:00.000Z,complete,Procurement Order Manager
event:4215,2022-08-16T17:00:00.000Z,complete,Procurement Order Manager
event:4217,2022-08-16T18:25:00.000Z,complete,Procurement Order Manager
event:4219,2022-08-16T20:06:00.000Z,complete,Procurement Order Manager
event:4220,2022-08-16T21:25:00.000Z,complete,Procurement Order Manager
event:4256,2022-08-17T22:19:00.000Z,complete,Procurement Order Manager
event:4283,2022-08-18T07:38:00.000Z,complete,Procurement Order Manager
event:4300,2022-08-19T01:06:00.000Z,complete,Procurement Order Manager
event:4303,2022-08-19T06:35:00.000Z,complete,Procurement Order Manager
event:4333,2022-08-19T11:48:00.000Z,complete,Procurement Order Manager
event:4341,2022-08-19T16:21:00.000Z,complete,Procurement Order Manager
event:4361,2022-08-21T11:33:00.000Z,complete,Procurement Order Manager
event:4363,2022-08-21T21:18:00.000Z,complete,Procurement Order Manager
event:4365,2022-08-22T03:35:00.000Z,complete,Procurement Order Manager
event:4366,2022-08-22T04:19:00.000Z,complete,Procurement Order Manager
event:4418,2022-08-22T09:55:00.000Z,complete,Procurement Order Manager
event:4479,2022-08-24T04:08:00.000Z,complete,Procurement Order Manager
event:4546,2022-08-25T18:02:00.000Z,complete,Procurement Order Manager
event:4549,2022-08-25T22:05:00.000Z,complete,Procurement Order Manager
event:4573,2022-08-26T07:58:00.000Z,complete,Procurement Order Manager
event:4579,2022-08-26T11:57:00.000Z,complete,Procurement Order Manager
event:4595,2022-08-26T23:41:00.000Z,complete,Procurement Order Manager
event:4607,2022-08-27T23:22:00.000Z,complete,Procurement Order Manager
event:4614,2022-08-28T18:59:00.000Z,complete,Procurement Order Manager
event:4673,2022-08-29T11:47:00.000Z,complete,Procurement Order Manager
event:4692,2022-08-29T15:01:00.000Z,complete,Procurement Order Manager
event:4732,2022-08-30T10:58:00.000Z,complete,Procurement Order Manager
event:4750,2022-08-31T10:06:00.000Z,complete,Procurement Order Manager
event:4751,2022-08-31T11:24:00.000Z,complete,Procurement Order Manager
event:4753,2022-08-31T12:13:00.000Z,complete,Procurement Order Manager
event:4767,2022-08-31T19:50:00.000Z,complete,Procurement Order Manager
event:4768,2022-08-31T20:48:00.000Z,complete,Procurement Order Manager
event:4791,2022-09-01T12:22:00.000Z,complete,Procurement Order Manager
event:4802,2022-09-02T00:26:00.000Z,complete,Procurement Order Manager
event:4805,2022-09-02T04:23:00.000Z,complete,Procurement Order Manager
event:4816,2022-09-02T08:48:00.000Z,complete,Procurement Order Manager
event:4822,2022-09-02T09:13:00.000Z,complete,Procurement Order Manager
event:4849,2022-09-02T11:38:00.000Z,complete,Procurement Order Manager
event:4877,2022-09-03T13:07:00.000Z,complete,Procurement Order Manager
event:4878,2022-09-03T15:34:00.000Z,complete,Procurement Order Manager
event:4885,2022-09-04T09:20:00.000Z,complete,Procurement Order Manager
event:4959,2022-09-06T02:28:00.000Z,complete,Procurement Order Manager
event:4986,2022-09-06T11:39:00.000Z,complete,Procurement Order Manager
event:5007,2022-09-07T03:22:00.000Z,complete,Procurement Order Manager
event:5039,2022-09-07T13:49:00.000Z,complete,Procurement Order Manager
event:5049,2022-09-07T14:16:00.000Z,complete,Procurement Order Manager
event:5052,2022-09-07T14:24:00.000Z,complete,Procurement Order Manager
event:5054,2022-09-07T16:29:00.000Z,complete,Procurement Order Manager
event:5062,2022-09-07T23:14:00.000Z,complete,Procurement Order Manager
event:5071,2022-09-08T03:53:00.000Z,complete,Procurement Order Manager
event:5072,2022-09-08T05:48:00.000Z,complete,Procurement Order Manager
event:5134,2022-09-09T06:56:00.000Z,complete,Procurement Order Manager
event:5165,2022-09-09T14:59:00.000Z,complete,Procurement Order Manager
event:5168,2022-09-09T16:21:00.000Z,complete,Procurement Order Manager
event:5169,2022-09-09T17:17:00.000Z,complete,Procurement Order Manager
event:5177,2022-09-10T06:13:00.000Z,complete,Procurement Order Manager
event:5178,2022-09-10T06:19:00.000Z,complete,Procurement Order Manager
event:5183,2022-09-10T12:17:00.000Z,complete,Procurement Order Manager
event:5185,2022-09-10T13:15:00.000Z,complete,Procurement Order Manager
event:5188,2022-09-10T16:16:00.000Z,complete,Procurement Order Manager
event:5191,2022-09-10T20:00:00.000Z,complete,Procurement Order Manager
event:5197,2022-09-11T17:09:00.000Z,complete,Procurement Order Manager
event:5203,2022-09-12T00:53:00.000Z,complete,Procurement Order Manager
event:5205,2022-09-12T04:05:00.000Z,complete,Procurement Order Manager
event:5259,2022-09-12T09:06:00.000Z,complete,Procurement Order Manager
event:5260,2022-09-12T09:16:00.000Z,complete,Procurement Order Manager
event:5279,2022-09-12T15:50:00.000Z,complete,Procurement Order Manager
event:5282,2022-09-12T17:36:00.000Z,complete,Procurement Order Manager
event:5283,2022-09-12T18:45:00.000Z,complete,Procurement Order Manager
event:5284,2022-09-12T20:10:00.000Z,complete,Procurement Order Manager
event:5324,2022-09-13T11:52:00.000Z,complete,Procurement Order Manager
event:5329,2022-09-13T12:58:00.000Z,complete,Procurement Order Manager
event:5337,2022-09-13T17:24:00.000Z,complete,Procurement Order Manager
event:5379,2022-09-14T16:41:00.000Z,complete,Procurement Order Manager
event:5387,2022-09-15T00:18:00.000Z,complete,Procurement Order Manager
event:5393,2022-09-15T05:20:00.000Z,complete,Procurement Order Manager
event:5435,2022-09-15T10:07:00.000Z,complete,Procurement Order Manager
event:5443,2022-09-15T11:18:00.000Z,complete,Procurement Order Manager
event:5452,2022-09-15T13:51:00.000Z,complete,Procurement Order Manager
event:5467,2022-09-15T16:14:00.000Z,complete,Procurement Order Manager
