ocel_id,ocel_time,lifecycle,resource
event:3,2022-04-02T14:16:00.000Z,complete,Procurement Requisition Manager
event:31,2022-04-06T08:20:00.000Z,complete,Procurement Requisition Manager
event:55,2022-04-08T04:32:00.000Z,complete,Procurement Requisition Manager
event:95,2022-04-11T14:37:00.000Z,complete,Procurement Requisition Manager
event:137,2022-04-14T06:35:00.000Z,complete,Procurement Requisition Manager
event:167,2022-04-15T21:31:00.000Z,complete,Procurement Requisition Manager
event:170,2022-04-16T01:50:00.000Z,complete,Procurement Requisition Manager
event:177,2022-04-16T18:14:00.000Z,complete,Procurement Requisition Manager
event:180,2022-04-16T22:54:00.000Z,complete,Procurement Requisition Manager
event:181,2022-04-17T16:54:00.000Z,complete,Procurement Requisition Manager
event:253,2022-04-20T20:13:00.000Z,complete,Procurement Requisition Manager
event:300,2022-04-25T04:46:00.000Z,complete,Procurement Requisition Manager
event:356,2022-04-26T08:48:00.000Z,complete,Procurement Requisition Manager
event:361,2022-04-26T16:39:00.000Z,complete,Procurement Requisition Manager
event:381,2022-04-27T12:49:00.000Z,complete,Procurement Requisition Manager
event:447,2022-04-29T07:24:00.000Z,complete,Procurement Requisition Manager
event:461,2022-04-29T17:25:00.000Z,complete,Procurement Requisition Manager
event:475,2022-04-30T11:41:00.000Z,complete,Procurement Requisition Manager
event:476,2022-04-30T13:20:00.000Z,complete,Procurement Requisition Manager
event:481,2022-04-30T21:56:00.000Z,complete,Procurement Requisition Manager
event:482,2022-05-01T02:26:00.000Z,complete,Procurement Requisition Manager
event:484,2022-05-01T09:35:00.000Z,complete,Procurement Requisition Manager
event:488,2022-05-01T22:10:00.000Z,complete,Procurement Requisition Manager
event:549,2022-05-03T02:35:00.000Z,complete,Procurement Requisition Manager
event:608,2022-05-03T22:55:00.000Z,complete,Procurement Requisition Manager
event:652,2022-05-04T19:31:00.000Z,complete,Procurement Requisition Manager
event:656,2022-05-05T05:36:00.000Z,complete,Procurement Requisition Manager
event:723,2022-05-06T17:44:00.000Z,complete,Procurement Requisition Manager
event:729,2022-05-06T22:57:00.000Z,complete,Procurement Requisition Manager
event:856,2022-05-10T18:35:00.000Z,complete,Procurement Requisition Manager
event:1011,2022-05-16T03:39:00.000Z,complete,Procurement Requisition Manager
event:1141,2022-05-17T12:36:00.000Z,complete,Procurement Requisition Manager
event:1153,2022-05-17T22:17:00.000Z,complete,Procurement Requisition Manager
event:1190,2022-05-18T18:11:00.000Z,complete,Procurement Requisition Manager
event:1196,2022-05-19T02:07:00.000Z,complete,Procurement Requisition Manager
event:1218,2022-05-19T07:45:00.000Z,complete,Procurement Requisition Manager
event:1276,2022-05-22T08:07:00.000Z,complete,Procurement Requisition Manager
event:1277,2022-05-22T15:18:00.000Z,complete,Procurement Requisition Manager
event:1332,2022-05-23T12:55:00.000Z,complete,Procurement Requisition Manager
event:1344,2022-05-24T05:00:00.000Z,complete,Procurement Requisition Manager
event:1380,2022-05-24T21:22:00.000Z,complete,Procurement Requisition Manager
event:1434,2022-05-26T04:30:00.000Z,complete,Procurement Requisition Manager
event:1435,2022-05-26T06:09:00.000Z,complete,Procurement Requisition Manager
event:1458,2022-05-26T10:17:00.000Z,complete,Procurement Requisition Manager
event:1465,2022-05-26T19:10:00.000Z,complete,Procurement Requisition Manager
event:1506,2022-05-28T00:56:00.000Z,complete,Procurement Requisition Manager
event:1508,2022-05-28T05:51:00.000Z,complete,Procurement Requisition Manager
event:1660,2022-06-01T04:23:00.000Z,complete,Procurement Requisition Manager
event:1700,2022-06-02T06:14:00.000Z,complete,Procurement Requisition Manager
event:1725,2022-06-02T10:20:00.000Z,complete,Procurement Requisition Manager
event:1780,2022-06-04T17:07:00.000Z,complete,Procurement Requisition Manager
event:1783,2022-06-04T18:58:00.000Z,complete,Procurement Requisition Manager
event:1792,2022-06-06T02:00:00.000Z,complete,Procurement Requisition Manager
event:1845,2022-06-07T00:01:00.000Z,complete,Procurement Requisition Manager
event:1880,2022-06-07T13:49:00.000Z,complete,Procurement Requisition Manager
event:1908,2022-06-08T09:09:00.000Z,complete,Procurement Requisition Manager
event:1998,2022-06-09T16:26:00.000Z,complete,Procurement Requisition Manager
event:2045,2022-06-13T01:02:00.000Z,complete,Procurement Requisition Manager
event:2094,2022-06-15T00:25:00.000Z,complete,Procurement Requisition Manager
event:2130,2022-06-16T13:39:00.000Z,complete,Procurement Requisition Manager
event:2133,2022-06-16T18:59:00.000Z,complete,Procurement Requisition Manager
event:2144,2022-06-17T08:50:00.000Z,complete,Procurement Requisition Manager
event:2163,2022-06-18T09:14:00.000Z,complete,Procurement Requisition Manager
