ocel_id,ocel_time,lifecycle,resource
event:83,2022-04-11T08:52:00.000Z,complete,Warehouse Department
event:88,2022-04-11T11:01:00.000Z,complete,Warehouse Department
event:113,2022-04-13T05:23:00.000Z,complete,Warehouse Department
event:114,2022-04-13T06:51:00.000Z,complete,Warehouse Department
event:123,2022-04-13T10:52:00.000Z,complete,Warehouse Department
event:132,2022-04-13T14:22:00.000Z,complete,Warehouse Department
event:134,2022-04-13T17:13:00.000Z,complete,Warehouse Department
event:135,2022-04-14T03:57:00.000Z,complete,Warehouse Department
event:152,2022-04-15T11:11:00.000Z,complete,Warehouse Department
event:165,2022-04-15T14:22:00.000Z,complete,Warehouse Department
event:166,2022-04-15T17:24:00.000Z,complete,Warehouse Department
event:173,2022-04-16T09:57:00.000Z,complete,Warehouse Department
event:182,2022-04-17T18:01:00.000Z,complete,Warehouse Department
event:215,2022-04-18T12:04:00.000Z,complete,Warehouse Department
event:223,2022-04-19T03:10:00.000Z,complete,Warehouse Department
event:247,2022-04-20T13:42:00.000Z,complete,Warehouse Department
event:251,2022-04-20T18:26:00.000Z,complete,Warehouse Department
event:252,2022-04-20T18:43:00.000Z,complete,Warehouse Department
event:255,2022-04-20T23:39:00.000Z,complete,Warehouse Department
event:267,2022-04-21T11:15:00.000Z,complete,Warehouse Department
event:271,2022-04-21T17:13:00.000Z,complete,Warehouse Department
event:273,2022-04-21T20:01:00.000Z,complete,Warehouse Department
event:279,2022-04-22T09:05:00.000Z,complete,Warehouse Department
event:299,2022-04-24T20:32:00.000Z,complete,Warehouse Department
event:334,2022-04-25T08:36:00.000Z,complete,Warehouse Department
event:348,2022-04-26T03:56:00.000Z,complete,Warehouse Department
event:362,2022-04-26T18:23:00.000Z,complete,Warehouse Department
event:385,2022-04-27T16:39:00.000Z,complete,Warehouse Department
event:389,2022-04-28T03:13:00.000Z,complete,Warehouse Department
event:390,2022-04-28T03:46:00.000Z,complete,Warehouse Department
event:404,2022-04-28T12:51:00.000Z,complete,Warehouse Department
event:416,2022-04-28T20:36:00.000Z,complete,Warehouse Department
event:423,2022-04-29T06:56:00.000Z,complete,Warehouse Department
event:463,2022-04-29T19:29:00.000Z,complete,Warehouse Department
event:464,2022-04-29T20:01:00.000Z,complete,Warehouse Department
event:466,2022-04-29T23:34:00.000Z,complete,Warehouse Department
event:468,2022-04-30T04:48:00.000Z,complete,Warehouse Department
event:469,2022-04-30T05:04:00.000Z,complete,Warehouse Department
event:470,2022-04-30T05:04:00.000Z,complete,Warehouse Department
event:471,2022-04-30T06:11:00.000Z,complete,Warehouse Department
event:480,2022-04-30T19:58:00.000Z,complete,Warehouse Department
event:485,2022-05-01T10:03:00.000Z,complete,Warehouse Department
event:487,2022-05-01T16:56:00.000Z,complete,Warehouse Department
event:530,2022-05-02T10:54:00.000Z,complete,Warehouse Department
event:535,2022-05-02T14:28:00.000Z,complete,Warehouse Department
event:538,2022-05-02T17:53:00.000Z,complete,Warehouse Department
event:543,2022-05-02T19:51:00.000Z,complete,Warehouse Department
event:546,2022-05-02T21:15:00.000Z,complete,Warehouse Department
event:578,2022-05-03T09:00:00.000Z,complete,Warehouse Department
event:583,2022-05-03T10:48:00.000Z,complete,Warehouse Department
event:592,2022-05-03T13:05:00.000Z,complete,Warehouse Department
event:609,2022-05-03T23:30:00.000Z,complete,Warehouse Department
event:611,2022-05-04T03:58:00.000Z,complete,Warehouse Department
event:613,2022-05-04T06:23:00.000Z,complete,Warehouse Department
event:637,2022-05-04T08:00:00.000Z,complete,Warehouse Department
event:643,2022-05-04T11:04:00.000Z,complete,Warehouse Department
event:644,2022-05-04T11:16:00.000Z,complete,Warehouse Department
event:645,2022-05-04T12:00:00.000Z,complete,Warehouse Department
event:673,2022-05-05T09:32:00.000Z,complete,Warehouse Department
event:674,2022-05-05T10:21:00.000Z,complete,Warehouse Department
event:675,2022-05-05T11:03:00.000Z,complete,Warehouse Department
event:676,2022-05-05T12:56:00.000Z,complete,Warehouse Department
event:684,2022-05-05T21:00:00.000Z,complete,Warehouse Department
event:685,2022-05-06T03:47:00.000Z,complete,Warehouse Department
event:721,2022-05-06T14:09:00.000Z,complete,Warehouse Department
event:735,2022-05-07T13:00:00.000Z,complete,Warehouse Department
event:737,2022-05-07T16:42:00.000Z,complete,Warehouse Department
event:740,2022-05-08T00:17:00.000Z,complete,Warehouse Department
event:742,2022-05-08T04:16:00.000Z,complete,Warehouse Department
event:746,2022-05-08T10:58:00.000Z,complete,Warehouse Department
event:747,2022-05-08T11:23:00.000Z,complete,Warehouse Department
event:750,2022-05-08T23:35:00.000Z,complete,Warehouse Department
event:797,2022-05-09T08:02:00.000Z,complete,Warehouse Department
event:809,2022-05-09T13:54:00.000Z,complete,Warehouse Department
event:811,2022-05-09T18:28:00.000Z,complete,Warehouse Department
event:818,2022-05-09T23:02:00.000Z,complete,Warehouse Department
event:853,2022-05-10T17:18:00.000Z,complete,Warehouse Department
event:855,2022-05-10T18:01:00.000Z,complete,Warehouse Department
event:858,2022-05-10T18:58:00.000Z,complete,Warehouse Department
event:861,2022-05-10T19:42:00.000Z,complete,Warehouse Department
event:862,2022-05-10T21:06:00.000Z,complete,Warehouse Department
event:863,2022-05-10T22:22:00.000Z,complete,Warehouse Department
event:864,2022-05-10T23:28:00.000Z,complete,Warehouse Department
event:882,2022-05-11T08:14:00.000Z,complete,Warehouse Department
event:885,2022-05-11T12:42:00.000Z,complete,Warehouse Department
event:888,2022-05-11T19:42:00.000Z,complete,Warehouse Department
event:889,2022-05-11T20:13:00.000Z,complete,Warehouse Department
event:930,2022-05-12T07:29:00.000Z,complete,Warehouse Department
event:931,2022-05-12T11:05:00.000Z,complete,Warehouse Department
event:942,2022-05-12T14:34:00.000Z,complete,Warehouse Department
event:943,2022-05-12T15:53:00.000Z,complete,Warehouse Department
event:947,2022-05-12T22:04:00.000Z,complete,Warehouse Department
event:950,2022-05-12T22:49:00.000Z,complete,Warehouse Department
event:951,2022-05-12T22:56:00.000Z,complete,Warehouse Department
event:952,2022-05-12T23:02:00.000Z,complete,Warehouse Department
event:953,2022-05-13T00:17:00.000Z,complete,Warehouse Department
event:954,2022-05-13T01:14:00.000Z,complete,Warehouse Department
event:959,2022-05-13T06:13:00.000Z,complete,Warehouse Department
event:976,2022-05-13T09:34:00.000Z,complete,Warehouse Department
event:982,2022-05-14T00:25:00.000Z,complete,Warehouse Department
event:984,2022-05-14T03:32:00.000Z,complete,Warehouse Department
event:985,2022-05-14T04:13:00.000Z,complete,Warehouse Department
event:986,2022-05-14T04:58:00.000Z,complete,Warehouse Department
event:987,2022-05-14T05:32:00.000Z,complete,Warehouse Department
event:991,2022-05-14T09:47:00.000Z,complete,Warehouse Department
event:992,2022-05-14T16:41:00.000Z,complete,Warehouse Department
event:993,2022-05-14T20:03:00.000Z,complete,Warehouse Department
event:994,2022-05-14T20:28:00.000Z,complete,Warehouse Department
event:996,2022-05-15T00:11:00.000Z,complete,Warehouse Department
event:998,2022-05-15T05:02:00.000Z,complete,Warehouse Department
event:1000,2022-05-15T07:14:00.000Z,complete,Warehouse Department
event:1001,2022-05-15T07:14:00.000Z,complete,Warehouse Department
event:1003,2022-05-15T10:25:00.000Z,complete,Warehouse Department
event:1004,2022-05-15T10:32:00.000Z,complete,Warehouse Department
event:1005,2022-05-15T13:01:00.000Z,complete,Warehouse Department
event:1013,2022-05-16T05:46:00.000Z,complete,Warehouse Department
event:1070,2022-05-16T08:21:00.000Z,complete,Warehouse Department
event:1075,2022-05-16T08:38:00.000Z,complete,Warehouse Department
event:1084,2022-05-16T11:24:00.000Z,complete,Warehouse Department
event:1086,2022-05-16T14:30:00.000Z,complete,Warehouse Department
event:1089,2022-05-16T14:54:00.000Z,complete,Warehouse Department
