ocel_id,ocel_time,lifecycle,resource
event:118,2022-04-13T07:49:00.000Z,complete,Finance/Account Department
event:126,2022-04-13T11:47:00.000Z,complete,Finance/Account Department
event:161,2022-04-15T13:54:00.000Z,complete,Finance/Account Department
event:171,2022-04-16T03:53:00.000Z,complete,Finance/Account Department
event:178,2022-04-16T18:40:00.000Z,complete,Finance/Account Department
event:218,2022-04-18T15:22:00.000Z,complete,Finance/Account Department
event:224,2022-04-19T04:47:00.000Z,complete,Finance/Account Department
event:272,2022-04-21T19:59:00.000Z,complete,Finance/Account Department
event:282,2022-04-22T12:42:00.000Z,complete,Finance/Account Department
event:285,2022-04-22T20:04:00.000Z,complete,Finance/Account Department
event:291,2022-04-23T16:08:00.000Z,complete,Finance/Account Department
event:294,2022-04-24T07:27:00.000Z,complete,Finance/Account Department
event:336,2022-04-25T12:06:00.000Z,complete,Finance/Account Department
event:340,2022-04-25T13:20:00.000Z,complete,Finance/Account Department
event:397,2022-04-28T09:53:00.000Z,complete,Finance/Account Department
event:413,2022-04-28T15:16:00.000Z,complete,Finance/Account Department
event:422,2022-04-29T06:03:00.000Z,complete,Finance/Account Department
event:474,2022-04-30T10:54:00.000Z,complete,Finance/Account Department
event:518,2022-05-02T07:04:00.000Z,complete,Finance/Account Department
event:525,2022-05-02T09:55:00.000Z,complete,Finance/Account Department
event:539,2022-05-02T18:20:00.000Z,complete,Finance/Account Department
event:541,2022-05-02T19:08:00.000Z,complete,Finance/Account Department
event:545,2022-05-02T20:34:00.000Z,complete,Finance/Account Department
event:547,2022-05-03T01:50:00.000Z,complete,Finance/Account Department
event:550,2022-05-03T06:57:00.000Z,complete,Finance/Account Department
event:571,2022-05-03T07:58:00.000Z,complete,Finance/Account Department
event:587,2022-05-03T10:56:00.000Z,complete,Finance/Account Department
event:604,2022-05-03T18:29:00.000Z,complete,Finance/Account Department
event:612,2022-05-04T06:04:00.000Z,complete,Finance/Account Department
event:653,2022-05-04T19:58:00.000Z,complete,Finance/Account Department
event:654,2022-05-04T20:15:00.000Z,complete,Finance/Account Department
event:679,2022-05-05T16:16:00.000Z,complete,Finance/Account Department
event:686,2022-05-06T04:59:00.000Z,complete,Finance/Account Department
event:700,2022-05-06T07:32:00.000Z,complete,Finance/Account Department
event:703,2022-05-06T07:53:00.000Z,complete,Finance/Account Department
event:709,2022-05-06T09:36:00.000Z,complete,Finance/Account Department
event:726,2022-05-06T20:55:00.000Z,complete,Finance/Account Department
event:739,2022-05-07T21:42:00.000Z,complete,Finance/Account Department
event:812,2022-05-09T19:15:00.000Z,complete,Finance/Account Department
event:816,2022-05-09T21:51:00.000Z,complete,Finance/Account Department
event:817,2022-05-09T23:01:00.000Z,complete,Finance/Account Department
event:820,2022-05-09T23:54:00.000Z,complete,Finance/Account Department
event:821,2022-05-10T04:12:00.000Z,complete,Finance/Account Department
event:867,2022-05-11T04:47:00.000Z,complete,Finance/Account Department
event:886,2022-05-11T16:08:00.000Z,complete,Finance/Account Department
event:887,2022-05-11T18:50:00.000Z,complete,Finance/Account Department
event:944,2022-05-12T17:31:00.000Z,complete,Finance/Account Department
event:945,2022-05-12T17:51:00.000Z,complete,Finance/Account Department
event:955,2022-05-13T01:51:00.000Z,complete,Finance/Account Department
event:957,2022-05-13T02:31:00.000Z,complete,Finance/Account Department
event:958,2022-05-13T03:56:00.000Z,complete,Finance/Account Department
event:980,2022-05-13T16:14:00.000Z,complete,Finance/Account Department
