ocel_id,ocel_time,lifecycle,resource
event:29,2022-04-06T07:45:00.000Z,complete,Procurement Department
event:33,2022-04-06T09:23:00.000Z,complete,Procurement Department
event:37,2022-04-06T12:06:00.000Z,complete,Procurement Department
event:45,2022-04-07T00:22:00.000Z,complete,Procurement Department
event:50,2022-04-07T16:27:00.000Z,complete,Procurement Department
event:51,2022-04-07T16:51:00.000Z,complete,Procurement Department
event:53,2022-04-07T19:14:00.000Z,complete,Procurement Department
event:63,2022-04-09T05:35:00.000Z,complete,Procurement Department
event:65,2022-04-09T11:27:00.000Z,complete,Procurement Department
event:66,2022-04-09T19:42:00.000Z,complete,Procurement Department
event:89,2022-04-11T11:24:00.000Z,complete,Procurement Department
event:97,2022-04-11T14:56:00.000Z,complete,Procurement Department
event:101,2022-04-12T01:54:00.000Z,complete,Procurement Department
event:147,2022-04-15T00:56:00.000Z,complete,Procurement Department
event:159,2022-04-15T12:00:00.000Z,complete,Procurement Department
event:168,2022-04-16T00:29:00.000Z,complete,Procurement Department
event:219,2022-04-18T16:51:00.000Z,complete,Procurement Department
event:221,2022-04-18T20:58:00.000Z,complete,Procurement Department
event:237,2022-04-19T17:32:00.000Z,complete,Procurement Department
event:238,2022-04-19T19:44:00.000Z,complete,Procurement Department
event:240,2022-04-20T04:04:00.000Z,complete,Procurement Department
event:257,2022-04-21T05:57:00.000Z,complete,Procurement Department
event:268,2022-04-21T11:27:00.000Z,complete,Procurement Department
event:287,2022-04-23T00:41:00.000Z,complete,Procurement Department
event:292,2022-04-23T19:10:00.000Z,complete,Procurement Department
event:293,2022-04-23T21:34:00.000Z,complete,Procurement Department
event:320,2022-04-25T07:06:00.000Z,complete,Procurement Department
event:346,2022-04-25T21:18:00.000Z,complete,Procurement Department
event:364,2022-04-27T01:46:00.000Z,complete,Procurement Department
event:387,2022-04-27T22:12:00.000Z,complete,Procurement Department
event:407,2022-04-28T13:14:00.000Z,complete,Procurement Department
event:418,2022-04-28T23:14:00.000Z,complete,Procurement Department
event:419,2022-04-29T00:11:00.000Z,complete,Procurement Department
event:453,2022-04-29T13:29:00.000Z,complete,Procurement Department
event:462,2022-04-29T18:06:00.000Z,complete,Procurement Department
event:472,2022-04-30T07:25:00.000Z,complete,Procurement Department
event:477,2022-04-30T15:07:00.000Z,complete,Procurement Department
event:486,2022-05-01T15:22:00.000Z,complete,Procurement Department
event:520,2022-05-02T07:07:00.000Z,complete,Procurement Department
event:540,2022-05-02T18:30:00.000Z,complete,Procurement Department
event:603,2022-05-03T16:46:00.000Z,complete,Procurement Department
event:635,2022-05-04T07:47:00.000Z,complete,Procurement Department
event:649,2022-05-04T15:09:00.000Z,complete,Procurement Department
event:650,2022-05-04T15:21:00.000Z,complete,Procurement Department
event:655,2022-05-05T02:01:00.000Z,complete,Procurement Department
event:677,2022-05-05T13:38:00.000Z,complete,Procurement Department
event:711,2022-05-06T09:43:00.000Z,complete,Procurement Department
event:722,2022-05-06T17:22:00.000Z,complete,Procurement Department
event:725,2022-05-06T19:52:00.000Z,complete,Procurement Department
event:728,2022-05-06T21:19:00.000Z,complete,Procurement Department
event:733,2022-05-07T07:38:00.000Z,complete,Procurement Department
event:751,2022-05-09T01:16:00.000Z,complete,Procurement Department
event:805,2022-05-09T12:32:00.000Z,complete,Procurement Department
event:807,2022-05-09T12:38:00.000Z,complete,Procurement Department
event:810,2022-05-09T17:58:00.000Z,complete,Procurement Department
event:815,2022-05-09T21:02:00.000Z,complete,Procurement Department
event:822,2022-05-10T05:01:00.000Z,complete,Procurement Department
event:843,2022-05-10T09:44:00.000Z,complete,Procurement Department
event:850,2022-05-10T14:26:00.000Z,complete,Procurement Department
event:854,2022-05-10T17:30:00.000Z,complete,Procurement Department
event:857,2022-05-10T18:36:00.000Z,complete,Procurement Department
event:876,2022-05-11T07:07:00.000Z,complete,Procurement Department
event:883,2022-05-11T11:47:00.000Z,complete,Procurement Department
event:894,2022-05-12T03:25:00.000Z,complete,Procurement Department
event:935,2022-05-12T12:34:00.000Z,complete,Procurement Department
event:949,2022-05-12T22:24:00.000Z,complete,Procurement Department
event:977,2022-05-13T10:11:00.000Z,complete,Procurement Department
event:995,2022-05-15T00:03:00.000Z,complete,Procurement Department
event:1078,2022-05-16T09:11:00.000Z,complete,Procurement Department
event:1131,2022-05-17T10:47:00.000Z,complete,Procurement Department
event:1143,2022-05-17T14:00:00.000Z,complete,Procurement Department
event:1173,2022-05-18T08:00:00.000Z,complete,Procurement Department
event:1175,2022-05-18T08:10:00.000Z,complete,Procurement Department
event:1192,2022-05-18T19:15:00.000Z,complete,Procurement Department
event:1248,2022-05-20T01:17:00.000Z,complete,Procurement Department
event:1255,2022-05-20T10:33:00.000Z,complete,Procurement Department
event:1278,2022-05-22T17:19:00.000Z,complete,Procurement Department
event:1319,2022-05-23T08:16:00.000Z,complete,Procurement Department
event:1327,2022-05-23T09:29:00.000Z,complete,Procurement Department
event:1374,2022-05-24T18:31:00.000Z,complete,Procurement Department
event:1375,2022-05-24T18:34:00.000Z,complete,Procurement Department
event:1382,2022-05-25T03:49:00.000Z,complete,Procurement Department
event:1418,2022-05-25T12:34:00.000Z,complete,Procurement Department
event:1426,2022-05-25T15:24:00.000Z,complete,Procurement Department
event:1427,2022-05-25T15:36:00.000Z,complete,Procurement Department
event:1428,2022-05-25T16:19:00.000Z,complete,Procurement Department
event:1432,2022-05-25T19:29:00.000Z,complete,Procurement Department
event:1454,2022-05-26T07:53:00.000Z,complete,Procurement Department
event:1456,2022-05-26T09:35:00.000Z,complete,Procurement Department
