ocel_id,ocel_time,lifecycle,resource
event:1,2022-04-01T09:26:00.000Z,complete,Manufacturing Department
event:9,2022-04-04T08:37:00.000Z,complete,Manufacturing Department
event:11,2022-04-04T09:25:00.000Z,complete,Manufacturing Department
event:15,2022-04-04T10:42:00.000Z,complete,Manufacturing Department
event:19,2022-04-04T15:30:00.000Z,complete,Manufacturing Department
event:39,2022-04-06T12:26:00.000Z,complete,Manufacturing Department
event:91,2022-04-11T12:14:00.000Z,complete,Manufacturing Department
event:93,2022-04-11T12:27:00.000Z,complete,Manufacturing Department
event:99,2022-04-11T18:02:00.000Z,complete,Manufacturing Department
event:121,2022-04-13T08:10:00.000Z,complete,Manufacturing Department
event:130,2022-04-13T12:52:00.000Z,complete,Manufacturing Department
event:145,2022-04-14T08:11:00.000Z,complete,Manufacturing Department
event:150,2022-04-15T09:30:00.000Z,complete,Manufacturing Department
event:213,2022-04-18T11:06:00.000Z,complete,Manufacturing Department
event:216,2022-04-18T14:28:00.000Z,complete,Manufacturing Department
event:256,2022-04-21T03:15:00.000Z,complete,Manufacturing Department
event:286,2022-04-23T00:10:00.000Z,complete,Manufacturing Department
event:330,2022-04-25T07:32:00.000Z,complete,Manufacturing Department
event:332,2022-04-25T08:21:00.000Z,complete,Manufacturing Department
event:345,2022-04-25T20:44:00.000Z,complete,Manufacturing Department
event:354,2022-04-26T07:44:00.000Z,complete,Manufacturing Department
event:376,2022-04-27T10:20:00.000Z,complete,Manufacturing Department
event:378,2022-04-27T11:55:00.000Z,complete,Manufacturing Department
event:383,2022-04-27T13:42:00.000Z,complete,Manufacturing Department
event:402,2022-04-28T12:25:00.000Z,complete,Manufacturing Department
event:449,2022-04-29T08:02:00.000Z,complete,Manufacturing Department
event:451,2022-04-29T09:31:00.000Z,complete,Manufacturing Department
event:459,2022-04-29T15:19:00.000Z,complete,Manufacturing Department
event:528,2022-05-02T10:42:00.000Z,complete,Manufacturing Department
event:548,2022-05-03T01:56:00.000Z,complete,Manufacturing Department
event:574,2022-05-03T08:12:00.000Z,complete,Manufacturing Department
event:579,2022-05-03T09:14:00.000Z,complete,Manufacturing Department
event:680,2022-05-05T16:21:00.000Z,complete,Manufacturing Department
event:707,2022-05-06T08:56:00.000Z,complete,Manufacturing Department
event:717,2022-05-06T11:25:00.000Z,complete,Manufacturing Department
event:799,2022-05-09T10:19:00.000Z,complete,Manufacturing Department
event:801,2022-05-09T10:59:00.000Z,complete,Manufacturing Department
event:852,2022-05-10T15:50:00.000Z,complete,Manufacturing Department
event:979,2022-05-13T15:30:00.000Z,complete,Manufacturing Department
event:1066,2022-05-16T07:59:00.000Z,complete,Manufacturing Department
event:1081,2022-05-16T09:37:00.000Z,complete,Manufacturing Department
event:1087,2022-05-16T14:50:00.000Z,complete,Manufacturing Department
event:1090,2022-05-16T15:08:00.000Z,complete,Manufacturing Department
event:1116,2022-05-17T07:04:00.000Z,complete,Manufacturing Department
event:1124,2022-05-17T09:15:00.000Z,complete,Manufacturing Department
event:1135,2022-05-17T11:15:00.000Z,complete,Manufacturing Department
event:1193,2022-05-18T19:30:00.000Z,complete,Manufacturing Department
event:1234,2022-05-19T12:57:00.000Z,complete,Manufacturing Department
event:1242,2022-05-19T18:43:00.000Z,complete,Manufacturing Department
event:1268,2022-05-20T23:56:00.000Z,complete,Manufacturing Department
event:1340,2022-05-23T21:48:00.000Z,complete,Manufacturing Department
event:1365,2022-05-24T10:19:00.000Z,complete,Manufacturing Department
event:1448,2022-05-26T07:16:00.000Z,complete,Manufacturing Department
event:1461,2022-05-26T14:49:00.000Z,complete,Manufacturing Department
event:1464,2022-05-26T16:38:00.000Z,complete,Manufacturing Department
event:1467,2022-05-26T21:54:00.000Z,complete,Manufacturing Department
event:1599,2022-05-30T12:29:00.000Z,complete,Manufacturing Department
event:1603,2022-05-30T13:05:00.000Z,complete,Manufacturing Department
event:1633,2022-05-31T10:22:00.000Z,complete,Manufacturing Department
event:1655,2022-05-31T21:20:00.000Z,complete,Manufacturing Department
event:1684,2022-06-01T13:24:00.000Z,complete,Manufacturing Department
event:1686,2022-06-01T14:04:00.000Z,complete,Manufacturing Department
event:1754,2022-06-03T08:09:00.000Z,complete,Manufacturing Department
event:1839,2022-06-06T12:25:00.000Z,complete,Manufacturing Department
event:1877,2022-06-07T09:14:00.000Z,complete,Manufacturing Department
event:1906,2022-06-08T08:46:00.000Z,complete,Manufacturing Department
event:1932,2022-06-08T12:40:00.000Z,complete,Manufacturing Department
event:2066,2022-06-13T07:44:00.000Z,complete,Manufacturing Department
event:2080,2022-06-14T07:30:00.000Z,complete,Manufacturing Department
event:2086,2022-06-14T08:56:00.000Z,complete,Manufacturing Department
event:2109,2022-06-15T08:49:00.000Z,complete,Manufacturing Department
event:2111,2022-06-15T08:51:00.000Z,complete,Manufacturing Department
event:2114,2022-06-15T15:37:00.000Z,complete,Manufacturing Department
event:2126,2022-06-16T08:51:00.000Z,complete,Manufacturing Department
event:2151,2022-06-17T12:10:00.000Z,complete,Manufacturing Department
event:2155,2022-06-17T13:01:00.000Z,complete,Manufacturing Department
event:2228,2022-06-20T10:25:00.000Z,complete,Manufacturing Department
event:2241,2022-06-20T16:46:00.000Z,complete,Manufacturing Department
event:2272,2022-06-21T11:09:00.000Z,complete,Manufacturing Department
event:2325,2022-06-22T17:08:00.000Z,complete,Manufacturing Department
event:2429,2022-06-24T14:17:00.000Z,complete,Manufacturing Department
event:2483,2022-06-27T08:37:00.000Z,complete,Manufacturing Department
event:2718,2022-07-04T07:39:00.000Z,complete,Manufacturing Department
event:2725,2022-07-04T18:16:00.000Z,complete,Manufacturing Department
event:2727,2022-07-04T22:43:00.000Z,complete,Manufacturing Department
event:2809,2022-07-07T21:47:00.000Z,complete,Manufacturing Department
event:2828,2022-07-08T08:34:00.000Z,complete,Manufacturing Department
event:2830,2022-07-08T09:21:00.000Z,complete,Manufacturing Department
event:2844,2022-07-08T21:30:00.000Z,complete,Manufacturing Department
event:2894,2022-07-11T12:28:00.000Z,complete,Manufacturing Department
event:2896,2022-07-11T13:18:00.000Z,complete,Manufacturing Department
event:2903,2022-07-11T21:34:00.000Z,complete,Manufacturing Department
event:2998,2022-07-14T13:54:00.000Z,complete,Manufacturing Department
event:3018,2022-07-15T09:59:00.000Z,complete,Manufacturing Department
event:3030,2022-07-15T20:12:00.000Z,complete,Manufacturing Department
event:3118,2022-07-18T12:00:00.000Z,complete,Manufacturing Department
event:3121,2022-07-18T14:19:00.000Z,complete,Manufacturing Department
event:3124,2022-07-18T17:13:00.000Z,complete,Manufacturing Department
event:3153,2022-07-19T07:41:00.000Z,complete,Manufacturing Department
event:3204,2022-07-20T09:54:00.000Z,complete,Manufacturing Department
event:3470,2022-07-25T17:36:00.000Z,complete,Manufacturing Department
event:3517,2022-07-26T16:49:00.000Z,complete,Manufacturing Department
event:3638,2022-07-29T08:29:00.000Z,complete,Manufacturing Department
event:3640,2022-07-29T11:23:00.000Z,complete,Manufacturing Department
event:3710,2022-08-01T09:37:00.000Z,complete,Manufacturing Department
event:3754,2022-08-03T01:37:00.000Z,complete,Manufacturing Department
