ocel_id,ocel_time,lifecycle,resource
event:22,2022-04-05T16:09:00.000Z,complete,Procurement Department
event:23,2022-04-05T21:53:00.000Z,complete,Procurement Department
event:35,2022-04-06T09:49:00.000Z,complete,Procurement Department
event:41,2022-04-06T13:45:00.000Z,complete,Procurement Department
event:44,2022-04-06T16:03:00.000Z,complete,Procurement Department
event:54,2022-04-07T22:35:00.000Z,complete,Procurement Department
event:61,2022-04-08T15:03:00.000Z,complete,Procurement Department
event:84,2022-04-11T09:50:00.000Z,complete,Procurement Department
event:136,2022-04-14T06:05:00.000Z,complete,Procurement Department
event:143,2022-04-14T07:40:00.000Z,complete,Procurement Department
event:175,2022-04-16T12:36:00.000Z,complete,Procurement Department
event:179,2022-04-16T21:31:00.000Z,complete,Procurement Department
event:183,2022-04-18T04:48:00.000Z,complete,Procurement Department
event:222,2022-04-18T23:16:00.000Z,complete,Procurement Department
event:235,2022-04-19T10:11:00.000Z,complete,Procurement Department
event:239,2022-04-19T20:20:00.000Z,complete,Procurement Department
event:276,2022-04-22T08:01:00.000Z,complete,Procurement Department
event:295,2022-04-24T12:45:00.000Z,complete,Procurement Department
event:327,2022-04-25T07:14:00.000Z,complete,Procurement Department
event:359,2022-04-26T14:26:00.000Z,complete,Procurement Department
event:386,2022-04-27T16:52:00.000Z,complete,Procurement Department
event:409,2022-04-28T14:35:00.000Z,complete,Procurement Department
event:414,2022-04-28T15:39:00.000Z,complete,Procurement Department
event:478,2022-04-30T15:52:00.000Z,complete,Procurement Department
event:544,2022-05-02T20:31:00.000Z,complete,Procurement Department
event:606,2022-05-03T20:44:00.000Z,complete,Procurement Department
event:607,2022-05-03T20:45:00.000Z,complete,Procurement Department
event:633,2022-05-04T07:18:00.000Z,complete,Procurement Department
event:638,2022-05-04T10:42:00.000Z,complete,Procurement Department
event:682,2022-05-05T19:09:00.000Z,complete,Procurement Department
event:683,2022-05-05T20:02:00.000Z,complete,Procurement Department
event:719,2022-05-06T11:39:00.000Z,complete,Procurement Department
event:724,2022-05-06T18:08:00.000Z,complete,Procurement Department
event:731,2022-05-07T07:02:00.000Z,complete,Procurement Department
event:743,2022-05-08T04:32:00.000Z,complete,Procurement Department
