ocel_id,ocel_time,lifecycle,resource
event:13,2022-04-04T09:44:00.000Z,complete,Manufacturing Department
event:17,2022-04-04T11:07:00.000Z,complete,Manufacturing Department
event:109,2022-04-12T07:18:00.000Z,complete,Manufacturing Department
event:576,2022-05-03T08:50:00.000Z,complete,Manufacturing Department
event:581,2022-05-03T09:17:00.000Z,complete,Manufacturing Department
event:803,2022-05-09T11:13:00.000Z,complete,Manufacturing Department
event:1068,2022-05-16T08:17:00.000Z,complete,Manufacturing Department
event:1317,2022-05-23T07:12:00.000Z,complete,Manufacturing Department
event:2153,2022-06-17T12:44:00.000Z,complete,Manufacturing Department
event:2232,2022-06-20T11:20:00.000Z,complete,Manufacturing Department
event:2268,2022-06-21T08:15:00.000Z,complete,Manufacturing Department
event:3151,2022-07-19T07:29:00.000Z,complete,Manufacturing Department
event:4461,2022-08-23T09:58:00.000Z,complete,Manufacturing Department
event:4698,2022-08-29T17:24:00.000Z,complete,Manufacturing Department
event:4852,2022-09-02T11:56:00.000Z,complete,Manufacturing Department
event:4946,2022-09-05T10:24:00.000Z,complete,Manufacturing Department
event:4971,2022-09-06T07:10:00.000Z,complete,Manufacturing Department
event:5450,2022-09-15T13:00:00.000Z,complete,Manufacturing Department
event:5668,2022-09-19T15:08:00.000Z,complete,Manufacturing Department
event:5706,2022-09-20T07:20:00.000Z,complete,Manufacturing Department
event:6108,2022-09-30T07:35:00.000Z,complete,Manufacturing Department
event:6251,2022-10-04T08:49:00.000Z,complete,Manufacturing Department
event:6324,2022-10-06T07:20:00.000Z,complete,Manufacturing Department
event:6521,2022-10-12T08:26:00.000Z,complete,Manufacturing Department
event:6969,2022-10-31T09:15:00.000Z,complete,Manufacturing Department
event:7429,2022-11-29T14:09:00.000Z,complete,Manufacturing Department
event:7481,2022-12-02T14:34:00.000Z,complete,Manufacturing Department
event:7718,2022-12-14T09:25:00.000Z,complete,Manufacturing Department
event:8264,2023-01-09T13:59:00.000Z,complete,Manufacturing Department
event:8496,2023-01-16T15:25:00.000Z,complete,Manufacturing Department
event:8737,2023-01-26T09:14:00.000Z,complete,Manufacturing Department
event:8880,2023-02-02T18:37:00.000Z,complete,Manufacturing Department
event:8959,2023-02-06T14:08:00.000Z,complete,Manufacturing Department
event:9585,2023-02-23T08:29:00.000Z,complete,Manufacturing Department
event:9591,2023-02-23T11:19:00.000Z,complete,Manufacturing Department
event:9599,2023-02-23T15:09:00.000Z,complete,Manufacturing Department
event:9636,2023-02-24T17:18:00.000Z,complete,Manufacturing Department
event:10594,2023-03-21T09:22:00.000Z,complete,Manufacturing Department
event:10635,2023-03-23T08:51:00.000Z,complete,Manufacturing Department
event:10641,2023-03-23T12:43:00.000Z,complete,Manufacturing Department
event:10757,2023-03-27T13:29:00.000Z,complete,Manufacturing Department
event:10759,2023-03-27T13:35:00.000Z,complete,Manufacturing Department
event:10840,2023-03-29T07:40:00.000Z,complete,Manufacturing Department
event:11216,2023-04-10T12:08:00.000Z,complete,Manufacturing Department
event:11621,2023-04-24T16:40:00.000Z,complete,Manufacturing Department
event:11727,2023-05-01T08:20:00.000Z,complete,Manufacturing Department
