ocel_id,ocel_time,lifecycle,resource
event:120,2022-04-13T07:59:00.000Z,complete,Finance/Account Department
event:128,2022-04-13T11:57:00.000Z,complete,Finance/Account Department
event:163,2022-04-15T14:04:00.000Z,complete,Finance/Account Department
event:208,2022-04-18T07:10:00.000Z,complete,Finance/Account Department
event:209,2022-04-18T07:10:00.000Z,complete,Finance/Account Department
event:232,2022-04-19T07:10:00.000Z,complete,Finance/Account Department
event:233,2022-04-19T07:10:00.000Z,complete,Finance/Account Department
event:275,2022-04-22T07:10:00.000Z,complete,Finance/Account Department
event:284,2022-04-22T12:52:00.000Z,complete,Finance/Account Department
event:322,2022-04-25T07:10:00.000Z,complete,Finance/Account Department
event:323,2022-04-25T07:10:00.000Z,complete,Finance/Account Department
event:324,2022-04-25T07:10:00.000Z,complete,Finance/Account Department
event:338,2022-04-25T12:16:00.000Z,complete,Finance/Account Department
event:342,2022-04-25T13:30:00.000Z,complete,Finance/Account Department
event:399,2022-04-28T10:03:00.000Z,complete,Finance/Account Department
event:444,2022-04-29T07:10:00.000Z,complete,Finance/Account Department
event:445,2022-04-29T07:10:00.000Z,complete,Finance/Account Department
event:522,2022-05-02T07:10:00.000Z,complete,Finance/Account Department
event:524,2022-05-02T07:14:00.000Z,complete,Finance/Account Department
event:527,2022-05-02T10:05:00.000Z,complete,Finance/Account Department
event:564,2022-05-03T07:10:00.000Z,complete,Finance/Account Department
event:565,2022-05-03T07:10:00.000Z,complete,Finance/Account Department
event:566,2022-05-03T07:10:00.000Z,complete,Finance/Account Department
event:567,2022-05-03T07:10:00.000Z,complete,Finance/Account Department
event:568,2022-05-03T07:10:00.000Z,complete,Finance/Account Department
event:573,2022-05-03T08:08:00.000Z,complete,Finance/Account Department
event:589,2022-05-03T11:06:00.000Z,complete,Finance/Account Department
event:630,2022-05-04T07:10:00.000Z,complete,Finance/Account Department
event:631,2022-05-04T07:10:00.000Z,complete,Finance/Account Department
event:668,2022-05-05T07:10:00.000Z,complete,Finance/Account Department
event:669,2022-05-05T07:10:00.000Z,complete,Finance/Account Department
event:697,2022-05-06T07:10:00.000Z,complete,Finance/Account Department
event:698,2022-05-06T07:10:00.000Z,complete,Finance/Account Department
event:702,2022-05-06T07:42:00.000Z,complete,Finance/Account Department
event:705,2022-05-06T08:03:00.000Z,complete,Finance/Account Department
event:713,2022-05-06T09:46:00.000Z,complete,Finance/Account Department
event:794,2022-05-09T07:10:00.000Z,complete,Finance/Account Department
event:795,2022-05-09T07:10:00.000Z,complete,Finance/Account Department
event:834,2022-05-10T07:10:00.000Z,complete,Finance/Account Department
event:835,2022-05-10T07:10:00.000Z,complete,Finance/Account Department
event:836,2022-05-10T07:10:00.000Z,complete,Finance/Account Department
event:837,2022-05-10T07:10:00.000Z,complete,Finance/Account Department
event:838,2022-05-10T07:10:00.000Z,complete,Finance/Account Department
event:878,2022-05-11T07:10:00.000Z,complete,Finance/Account Department
event:927,2022-05-12T07:10:00.000Z,complete,Finance/Account Department
event:928,2022-05-12T07:10:00.000Z,complete,Finance/Account Department
event:969,2022-05-13T07:10:00.000Z,complete,Finance/Account Department
event:970,2022-05-13T07:10:00.000Z,complete,Finance/Account Department
event:971,2022-05-13T07:10:00.000Z,complete,Finance/Account Department
event:972,2022-05-13T07:10:00.000Z,complete,Finance/Account Department
event:973,2022-05-13T07:10:00.000Z,complete,Finance/Account Department
event:1062,2022-05-16T07:10:00.000Z,complete,Finance/Account Department
event:1063,2022-05-16T07:10:00.000Z,complete,Finance/Account Department
event:1080,2022-05-16T09:17:00.000Z,complete,Finance/Account Department
event:1118,2022-05-17T07:10:00.000Z,complete,Finance/Account Department
event:1119,2022-05-17T07:10:00.000Z,complete,Finance/Account Department
event:1120,2022-05-17T07:10:00.000Z,complete,Finance/Account Department
event:1121,2022-05-17T07:10:00.000Z,complete,Finance/Account Department
event:1128,2022-05-17T09:44:00.000Z,complete,Finance/Account Department
event:1133,2022-05-17T10:49:00.000Z,complete,Finance/Account Department
event:1139,2022-05-17T11:57:00.000Z,complete,Finance/Account Department
event:1148,2022-05-17T14:34:00.000Z,complete,Finance/Account Department
event:1170,2022-05-18T07:10:00.000Z,complete,Finance/Account Department
event:1171,2022-05-18T07:10:00.000Z,complete,Finance/Account Department
event:1179,2022-05-18T10:12:00.000Z,complete,Finance/Account Department
event:1210,2022-05-19T07:10:00.000Z,complete,Finance/Account Department
