ocel_event_id,ocel_object_id,ocel_qualifier
event:52,quotation:0,quotation
event:52,purchase_order:2,purchase_order
event:62,quotation:0,quotation
event:62,purchase_order:3,purchase_order
event:64,purchase_order:4,purchase_order
event:64,quotation:1,quotation
event:87,quotation:3,quotation
event:87,purchase_order:7,purchase_order
event:100,purchase_order:8,purchase_order
event:100,quotation:3,quotation
event:111,quotation:4,quotation
event:111,purchase_order:6,purchase_order
event:112,purchase_order:0,purchase_order
event:112,quotation:2,quotation
event:124,quotation:5,quotation
event:124,purchase_order:9,purchase_order
event:154,purchase_order:1,purchase_order
event:154,quotation:2,quotation
event:169,quotation:7,quotation
event:169,purchase_order:13,purchase_order
event:172,quotation:6,quotation
event:172,purchase_order:10,purchase_order
event:174,quotation:4,quotation
event:174,purchase_order:5,purchase_order
event:220,quotation:9,quotation
event:220,purchase_order:15,purchase_order
event:248,quotation:12,quotation
event:248,purchase_order:16,purchase_order
event:254,quotation:14,quotation
event:254,purchase_order:21,purchase_order
event:288,purchase_order:20,purchase_order
event:288,quotation:17,quotation
event:289,quotation:7,quotation
event:289,purchase_order:14,purchase_order
event:290,purchase_order:18,purchase_order
event:290,quotation:11,quotation
event:296,purchase_order:12,purchase_order
event:296,quotation:8,quotation
event:298,purchase_order:17,purchase_order
event:298,quotation:10,quotation
event:344,quotation:13,quotation
event:344,purchase_order:23,purchase_order
event:358,purchase_order:25,purchase_order
event:358,quotation:18,quotation
event:370,purchase_order:19,purchase_order
event:370,quotation:17,quotation
event:375,quotation:16,quotation
event:375,purchase_order:26,purchase_order
event:415,quotation:8,quotation
event:415,purchase_order:11,purchase_order
event:421,purchase_order:27,purchase_order
event:421,quotation:16,quotation
event:455,purchase_order:30,purchase_order
event:455,quotation:21,quotation
event:460,quotation:15,quotation
event:460,purchase_order:36,purchase_order
event:467,quotation:15,quotation
event:467,purchase_order:34,purchase_order
event:473,purchase_order:32,purchase_order
event:473,quotation:20,quotation
event:479,purchase_order:22,purchase_order
event:479,quotation:13,quotation
event:483,quotation:19,quotation
event:483,purchase_order:28,purchase_order
event:534,quotation:24,quotation
event:534,purchase_order:38,purchase_order
event:537,purchase_order:31,purchase_order
event:537,quotation:20,quotation
event:542,quotation:22,quotation
event:542,purchase_order:37,purchase_order
event:596,quotation:24,quotation
event:596,purchase_order:39,purchase_order
event:610,quotation:20,quotation
event:610,purchase_order:33,purchase_order
event:651,purchase_order:24,purchase_order
event:651,quotation:18,quotation
event:681,quotation:30,quotation
event:681,purchase_order:45,purchase_order
event:732,quotation:30,quotation
event:732,purchase_order:46,purchase_order
event:734,quotation:34,quotation
event:734,purchase_order:42,purchase_order
event:738,purchase_order:44,purchase_order
event:738,quotation:23,quotation
event:741,purchase_order:29,purchase_order
event:741,quotation:19,quotation
event:744,quotation:15,quotation
event:744,purchase_order:35,purchase_order
event:748,purchase_order:40,purchase_order
event:748,quotation:31,quotation
event:814,purchase_order:51,purchase_order
event:814,quotation:25,quotation
event:845,purchase_order:49,purchase_order
event:845,quotation:37,quotation
event:848,quotation:26,quotation
event:848,purchase_order:59,purchase_order
event:860,quotation:30,quotation
event:860,purchase_order:47,purchase_order
event:866,purchase_order:55,purchase_order
event:866,quotation:29,quotation
event:890,quotation:34,quotation
event:890,purchase_order:41,purchase_order
event:891,purchase_order:56,purchase_order
event:891,quotation:29,quotation
event:892,purchase_order:61,purchase_order
event:892,quotation:36,quotation
event:893,quotation:30,quotation
event:893,purchase_order:48,purchase_order
event:937,purchase_order:62,purchase_order
event:937,quotation:36,quotation
event:981,purchase_order:63,purchase_order
event:981,quotation:41,quotation
event:983,purchase_order:66,purchase_order
event:983,quotation:42,quotation
event:988,purchase_order:58,purchase_order
event:988,quotation:29,quotation
event:997,purchase_order:57,purchase_order
event:997,quotation:29,quotation
event:999,quotation:28,quotation
event:999,purchase_order:60,purchase_order
event:1007,quotation:42,quotation
event:1007,purchase_order:65,purchase_order
event:1009,quotation:42,quotation
