ocel_id,ocel_type
goods receipt:1287,goods receipt
goods receipt:1305,goods receipt
goods receipt:74,goods receipt
goods receipt:1550,goods receipt
goods receipt:1003,goods receipt
goods receipt:9,goods receipt
goods receipt:1289,goods receipt
goods receipt:1599,goods receipt
goods receipt:1115,goods receipt
goods receipt:1422,goods receipt
goods receipt:721,goods receipt
goods receipt:299,goods receipt
goods receipt:223,goods receipt
goods receipt:366,goods receipt
goods receipt:996,goods receipt
goods receipt:357,goods receipt
goods receipt:1933,goods receipt
goods receipt:562,goods receipt
goods receipt:782,goods receipt
goods receipt:1638,goods receipt
goods receipt:27,goods receipt
goods receipt:193,goods receipt
goods receipt:222,goods receipt
goods receipt:288,goods receipt
goods receipt:75,goods receipt
goods receipt:557,goods receipt
goods receipt:328,goods receipt
goods receipt:1072,goods receipt
goods receipt:966,goods receipt
goods receipt:252,goods receipt
goods receipt:597,goods receipt
goods receipt:1445,goods receipt
goods receipt:449,goods receipt
goods receipt:907,goods receipt
goods receipt:168,goods receipt
goods receipt:1723,goods receipt
goods receipt:585,goods receipt
goods receipt:430,goods receipt
goods receipt:1112,goods receipt
goods receipt:136,goods receipt
goods receipt:559,goods receipt
goods receipt:985,goods receipt
goods receipt:628,goods receipt
goods receipt:1854,goods receipt
goods receipt:1631,goods receipt
goods receipt:705,goods receipt
goods receipt:614,goods receipt
goods receipt:965,goods receipt
goods receipt:1711,goods receipt
goods receipt:762,goods receipt
goods receipt:1405,goods receipt
goods receipt:1106,goods receipt
goods receipt:1895,goods receipt
goods receipt:1452,goods receipt
goods receipt:571,goods receipt
goods receipt:126,goods receipt
goods receipt:636,goods receipt
goods receipt:625,goods receipt
goods receipt:1751,goods receipt
goods receipt:1908,goods receipt
goods receipt:1283,goods receipt
goods receipt:917,goods receipt
goods receipt:1135,goods receipt
goods receipt:605,goods receipt
goods receipt:1034,goods receipt
goods receipt:1575,goods receipt
goods receipt:1725,goods receipt
goods receipt:632,goods receipt
goods receipt:1118,goods receipt
goods receipt:1669,goods receipt
goods receipt:749,goods receipt
goods receipt:1246,goods receipt
goods receipt:919,goods receipt
goods receipt:1459,goods receipt
goods receipt:1682,goods receipt
goods receipt:916,goods receipt
goods receipt:1349,goods receipt
goods receipt:1339,goods receipt
goods receipt:1614,goods receipt
goods receipt:1393,goods receipt
goods receipt:1414,goods receipt
goods receipt:1023,goods receipt
goods receipt:229,goods receipt
goods receipt:1881,goods receipt
goods receipt:502,goods receipt
goods receipt:1658,goods receipt
goods receipt:1343,goods receipt
goods receipt:817,goods receipt
goods receipt:1213,goods receipt
goods receipt:117,goods receipt
goods receipt:434,goods receipt
goods receipt:1743,goods receipt
goods receipt:59,goods receipt
goods receipt:120,goods receipt
goods receipt:1028,goods receipt
goods receipt:361,goods receipt
goods receipt:1501,goods receipt
goods receipt:910,goods receipt
goods receipt:214,goods receipt
goods receipt:1424,goods receipt
goods receipt:1099,goods receipt
goods receipt:106,goods receipt
goods receipt:1148,goods receipt
goods receipt:1692,goods receipt
goods receipt:1054,goods receipt
goods receipt:1878,goods receipt
goods receipt:1539,goods receipt
goods receipt:365,goods receipt
goods receipt:542,goods receipt
goods receipt:1398,goods receipt
goods receipt:1415,goods receipt
goods receipt:1089,goods receipt
goods receipt:854,goods receipt
goods receipt:1626,goods receipt
goods receipt:1816,goods receipt
goods receipt:624,goods receipt
goods receipt:1286,goods receipt
goods receipt:1478,goods receipt
goods receipt:1048,goods receipt
goods receipt:1469,goods receipt
goods receipt:213,goods receipt
goods receipt:1244,goods receipt
