ocel_id,ocel_time,InvoiceReceiptMSEGWEAHR,MovementTypeMSEGBWART,new_value,PostingDateMKPFBLDAT,ocel_changed_field
goods receipt:1287,1970-01-01T00:00:00.000Z,X,101,,2024-01-08 23:04:00,
goods receipt:1287,2024-01-01T17:47:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1287,2023-12-25T18:42:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1287,2023-12-28T22:04:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1287,2023-12-25T18:42:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1287,2023-12-28T22:04:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1305,1970-01-01T00:00:00.000Z,X,101,,2024-01-13 19:00:00,
goods receipt:1305,2024-01-08T15:25:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1305,2023-12-29T13:01:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1305,2024-01-05T18:00:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1305,2023-12-29T13:01:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1305,2024-01-05T18:00:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:74,1970-01-01T00:00:00.000Z,X,101,,2022-06-05 12:39:00,
goods receipt:74,2022-05-20T19:34:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:74,2022-05-19T10:39:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:74,2022-05-19T10:39:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1550,1970-01-01T00:00:00.000Z,X,101,,2024-05-11 12:11:00,
goods receipt:1550,2024-04-24T15:05:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1550,2024-04-23T21:35:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1550,2024-04-24T13:29:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1550,2024-04-26T10:11:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1550,2024-04-23T21:35:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1550,2024-04-24T13:29:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1550,2024-04-26T10:11:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1003,1970-01-01T00:00:00.000Z,X,101,,2023-09-08 03:59:00,
goods receipt:1003,2023-08-26T03:50:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1003,2023-08-25T01:59:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1003,2023-08-25T01:59:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:9,1970-01-01T00:00:00.000Z,X,101,,2022-05-12 14:51:00,
goods receipt:9,2022-04-29T06:03:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:9,2022-04-28T12:51:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:9,2022-04-28T12:51:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1289,1970-01-01T00:00:00.000Z,X,101,,2024-01-07 10:37:00,
goods receipt:1289,2023-12-28T12:37:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1289,2023-12-25T12:02:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1289,2023-12-28T09:37:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1289,2023-12-25T12:02:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1289,2023-12-28T09:37:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1599,1970-01-01T00:00:00.000Z,X,101,,2024-05-30 05:14:00,
goods receipt:1599,2024-05-17T15:11:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1599,2024-05-14T18:53:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1599,2024-05-15T03:14:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1599,2024-05-14T18:53:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1599,2024-05-15T03:14:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1115,1970-01-01T00:00:00.000Z,X,101,,2023-10-23 21:30:00,
goods receipt:1115,2023-10-07T05:27:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1115,2023-10-04T09:51:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1115,2023-10-04T19:30:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1115,2023-10-04T09:51:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1115,2023-10-04T19:30:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1422,1970-01-01T00:00:00.000Z,X,101,,2024-03-08 20:51:00,
goods receipt:1422,2024-02-23T10:27:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1422,2024-02-22T08:30:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1422,2024-02-22T13:20:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1422,2024-02-22T13:25:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1422,2024-02-23T19:51:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1422,2024-02-22T08:30:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1422,2024-02-22T13:20:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1422,2024-02-22T13:25:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1422,2024-02-23T19:51:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:721,1970-01-01T00:00:00.000Z,X,101,,2023-04-22 15:15:00,
goods receipt:721,2023-04-05T22:06:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:721,2023-04-03T10:32:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:721,2023-04-03T13:15:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:721,2023-04-03T10:32:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:721,2023-04-03T13:15:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:299,1970-01-01T00:00:00.000Z,X,101,,2022-09-20 02:06:00,
goods receipt:299,2022-09-02T14:38:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:299,2022-08-29T20:00:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:299,2022-09-03T00:06:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:299,2022-08-29T20:00:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:299,2022-09-03T00:06:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:223,1970-01-01T00:00:00.000Z,X,101,,2022-08-09 03:38:00,
