ocel_id,ocel_time,CreditAmountBSEGWRBTR,DebitAmountBSEGDMBTR,PaymentBlockRSEGZLSPR,new_value,ocel_changed_field
invoice receipt:1553,1970-01-01T00:00:00.000Z,69300.0,69300.0,,,
invoice receipt:1553,2024-04-26T10:06:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1553,2024-04-26T10:06:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1553,2024-04-26T10:06:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1553,2024-04-26T10:16:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1553,2024-04-26T12:20:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1553,2024-04-26T12:20:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1553,2024-04-26T12:20:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1553,2024-04-26T12:30:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1553,2024-04-27T16:47:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1553,2024-04-27T16:47:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1553,2024-04-27T16:47:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1553,2024-04-28T22:06:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1553,2024-04-28T22:06:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1553,2024-04-28T22:06:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1553,2024-04-29T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1553,2024-04-29T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:838,1970-01-01T00:00:00.000Z,14500.0,14500.0,,,
invoice receipt:838,2023-06-06T04:37:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:838,2023-06-06T04:37:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:838,2023-06-06T04:37:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:838,2023-06-06T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:464,1970-01-01T00:00:00.000Z,165950.0,165950.0,,,
invoice receipt:464,2022-11-11T17:16:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:464,2022-11-11T17:16:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:464,2022-11-11T17:16:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:464,2022-11-14T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1285,1970-01-01T00:00:00.000Z,60000.0,60000.0,,,
invoice receipt:1285,2023-12-27T19:31:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1285,2023-12-27T19:31:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1285,2023-12-27T19:31:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1285,2023-12-28T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
