ocel_id,ocel_time,NetPriceEKPONETPR,QuantityEKPOMENGE,DeliveryDateEKPOBEDAT,PlantEKPOWERKS,MaterialEKPOMATNR,StorageLocationEKPOLGORT,ocel_changed_field
material:1434,1970-01-01T00:00:00.000Z,400.0,37.0,2023-10-06 09:30:21.890421,2000,HELMET_S,0001,
material:1815,1970-01-01T00:00:00.000Z,1500.0,45.0,2023-10-24 09:30:25.877561,4000,CABLE,0004,
material:43,1970-01-01T00:00:00.000Z,650.0,10.0,2023-10-23 09:30:10.411048,5000,LOCK,0005,
material:237,1970-01-01T00:00:00.000Z,1250.0,80.0,2023-10-07 09:30:11.730221,1000,CHAIN,0005,
material:1505,1970-01-01T00:00:00.000Z,1500.0,84.0,2023-10-07 09:30:22.392649,4000,CABLE,0005,
material:551,1970-01-01T00:00:00.000Z,1200.0,12.0,2023-10-08 09:30:14.259352,1000,WHEEL_HUB,0005,
material:1452,1970-01-01T00:00:00.000Z,400.0,78.0,2023-10-19 09:30:22.016582,1000,HELMET_S,0004,
material:912,1970-01-01T00:00:00.000Z,500.0,12.0,2023-10-17 09:30:17.049649,1000,JACKET_S,0004,
material:2203,1970-01-01T00:00:00.000Z,150.0,100.0,2023-10-29 09:30:30.646660,1000,BIKE_BRAKE,0003,
material:805,1970-01-01T00:00:00.000Z,800.0,100.0,2023-10-05 09:30:16.115625,2000,LIGHT_FRONT,0001,
material:874,1970-01-01T00:00:00.000Z,250.0,12.0,2023-10-18 09:30:16.761886,2000,BIKE_RIM,0001,
material:453,1970-01-01T00:00:00.000Z,950.0,47.0,2023-10-29 09:30:13.393816,2000,HUB_BEARING,0002,
material:28,1970-01-01T00:00:00.000Z,1250.0,84.0,2023-10-17 09:30:10.281219,4000,CHAIN,0002,
material:1833,1970-01-01T00:00:00.000Z,1200.0,53.0,2023-10-11 09:30:26.180166,4000,VALVE,0001,
material:1487,1970-01-01T00:00:00.000Z,1200.0,95.0,2023-10-23 09:30:22.316551,3000,VALVE,0003,
material:1839,1970-01-01T00:00:00.000Z,200.0,85.0,2023-10-29 09:30:26.219155,2000,BIKE_WHEEL,0004,
material:653,1970-01-01T00:00:00.000Z,950.0,81.0,2023-10-31 09:30:15.146363,4000,RIM_TAPE,0001,
material:1968,1970-01-01T00:00:00.000Z,100.0,54.0,2023-10-17 09:30:27.413274,4000,BIKE_FRAME,0003,
material:1560,1970-01-01T00:00:00.000Z,350.0,82.0,2023-10-05 09:30:22.927074,4000,PANTS_S,0002,
material:1439,1970-01-01T00:00:00.000Z,1400.0,49.0,2023-10-23 09:30:21.919725,4000,DERAILLEUR,0004,
material:1600,1970-01-01T00:00:00.000Z,1050.0,89.0,2023-10-08 09:30:23.421190,1000,NIPPLE,0005,
material:533,1970-01-01T00:00:00.000Z,1250.0,25.0,2023-10-28 09:30:14.044581,3000,CHAIN,0004,
material:2007,1970-01-01T00:00:00.000Z,300.0,54.0,2023-10-24 09:30:27.847033,1000,BIKE_FORK,0004,
material:2126,1970-01-01T00:00:00.000Z,1350.0,64.0,2023-10-14 09:30:29.499526,4000,BOTTOM_BRACKET,0001,
material:259,1970-01-01T00:00:00.000Z,1100.0,25.0,2023-10-16 09:30:11.937323,1000,TUBE_26,0003,
material:1736,1970-01-01T00:00:00.000Z,300.0,33.0,2023-10-13 09:30:24.931752,4000,BIKE_FORK,0002,
material:1504,1970-01-01T00:00:00.000Z,1350.0,76.0,2023-10-25 09:30:22.392645,5000,BOTTOM_BRACKET,0002,
material:819,1970-01-01T00:00:00.000Z,1100.0,71.0,2023-10-28 09:30:16.153350,5000,SPOKE,0005,
material:2117,1970-01-01T00:00:00.000Z,1000.0,84.0,2023-10-28 09:30:29.162963,5000,TIRE_26,0005,
material:1380,1970-01-01T00:00:00.000Z,500.0,20.0,2023-10-25 09:30:21.476945,2000,HELMET_L,0003,
material:461,1970-01-01T00:00:00.000Z,1100.0,89.0,2023-10-11 09:30:13.526631,2000,TUBE_26,0002,
material:2219,1970-01-01T00:00:00.000Z,450.0,97.0,2023-10-15 09:30:30.777158,1000,JACKET_M,0003,
material:226,1970-01-01T00:00:00.000Z,650.0,32.0,2023-10-26 09:30:11.633452,3000,SPEEDOMETER,0002,
material:2022,1970-01-01T00:00:00.000Z,800.0,56.0,2023-10-21 09:30:27.930855,1000,LIGHT_FRONT,0004,
material:627,1970-01-01T00:00:00.000Z,1050.0,35.0,2023-10-19 09:30:14.976381,5000,NIPPLE,0001,
material:1043,1970-01-01T00:00:00.000Z,600.0,37.0,2023-10-08 09:30:18.295778,4000,GLOVES_M,0003,
material:263,1970-01-01T00:00:00.000Z,1050.0,60.0,2023-10-08 09:30:12.035454,4000,NIPPLE,0003,
material:727,1970-01-01T00:00:00.000Z,700.0,97.0,2023-10-09 09:30:15.605034,2000,PUMP,0002,
material:796,1970-01-01T00:00:00.000Z,300.0,50.0,2023-10-07 09:30:16.075404,4000,BIKE_PEDAL,0004,
material:612,1970-01-01T00:00:00.000Z,950.0,76.0,2023-10-30 09:30:14.850914,5000,TIRE_28,0001,
material:2154,1970-01-01T00:00:00.000Z,200.0,23.0,2023-10-08 09:30:30.271862,3000,BIKE_SPOKE,0005,
material:445,1970-01-01T00:00:00.000Z,200.0,71.0,2023-10-28 09:30:13.270273,5000,BIKE_SPOKE,0003,
material:1278,1970-01-01T00:00:00.000Z,1500.0,32.0,2023-10-27 09:30:20.270254,3000,PEDAL,0004,
material:1139,1970-01-01T00:00:00.000Z,500.0,10.0,2023-10-22 09:30:19.091605,1000,HELMET_L,0002,
material:48,1970-01-01T00:00:00.000Z,600.0,90.0,2023-10-14 09:30:10.430109,3000,GLOVES_M,0004,
material:219,1970-01-01T00:00:00.000Z,1200.0,34.0,2023-10-14 09:30:11.604391,3000,WHEEL_HUB,0004,
material:2233,1970-01-01T00:00:00.000Z,900.0,43.0,2023-11-01 09:30:30.929248,1000,BIKE_BELL,0001,
material:1192,1970-01-01T00:00:00.000Z,500.0,25.0,2023-10-29 09:30:19.601788,4000,HELMET_L,0004,
material:1930,1970-01-01T00:00:00.000Z,200.0,71.0,2023-10-16 09:30:26.998260,5000,BIKE_WHEEL,0004,
material:996,1970-01-01T00:00:00.000Z,450.0,84.0,2023-10-16 09:30:17.920930,3000,GLOVES_S,0001,
material:969,1970-01-01T00:00:00.000Z,1000.0,55.0,2023-10-14 09:30:17.656828,3000,TIRE_26,0002,
