ocel_source_id,ocel_target_id,ocel_qualifier
goods receipt:1287,purchase_order:1072,Good Receipts of Purchase Order
goods receipt:1287,invoice receipt:1300,Invoice Receipt of Goods Receipt
goods receipt:1287,payment:623,goods_receipt_pm
goods receipt:1305,purchase_order:1074,Good Receipts of Purchase Order
goods receipt:1305,invoice receipt:1322,Invoice Receipt of Goods Receipt
goods receipt:1305,payment:636,goods_receipt_pm
goods receipt:74,purchase_order:68,Good Receipts of Purchase Order
goods receipt:74,material:96,Materials of Goods Receipt
goods receipt:74,material:95,Materials of Goods Receipt
goods receipt:74,material:97,Materials of Goods Receipt
goods receipt:74,invoice receipt:73,Invoice Receipt of Goods Receipt
goods receipt:74,payment:34,goods_receipt_pm
goods receipt:1550,purchase_order:1265,Good Receipts of Purchase Order
goods receipt:1550,invoice receipt:1549,Invoice Receipt of Goods Receipt
goods receipt:1550,payment:738,goods_receipt_pm
goods receipt:1003,purchase_order:824,Good Receipts of Purchase Order
goods receipt:1003,material:1218,Materials of Goods Receipt
goods receipt:1003,material:1219,Materials of Goods Receipt
goods receipt:1003,invoice receipt:1001,Invoice Receipt of Goods Receipt
goods receipt:1003,payment:486,goods_receipt_pm
goods receipt:9,purchase_order:10,Good Receipts of Purchase Order
goods receipt:9,material:17,Materials of Goods Receipt
goods receipt:9,invoice receipt:16,Invoice Receipt of Goods Receipt
goods receipt:9,payment:10,goods_receipt_pm
goods receipt:1289,purchase_order:1049,Good Receipts of Purchase Order
goods receipt:1289,invoice receipt:1294,Invoice Receipt of Goods Receipt
goods receipt:1289,payment:619,goods_receipt_pm
goods receipt:1599,purchase_order:1308,Good Receipts of Purchase Order
goods receipt:1599,invoice receipt:1593,Invoice Receipt of Goods Receipt
goods receipt:1599,payment:767,goods_receipt_pm
goods receipt:1115,purchase_order:911,Good Receipts of Purchase Order
goods receipt:1115,invoice receipt:1113,Invoice Receipt of Goods Receipt
goods receipt:1115,payment:539,goods_receipt_pm
goods receipt:1422,purchase_order:1172,Good Receipts of Purchase Order
goods receipt:1422,invoice receipt:1421,Invoice Receipt of Goods Receipt
goods receipt:1422,payment:680,goods_receipt_pm
goods receipt:721,purchase_order:596,Good Receipts of Purchase Order
goods receipt:721,invoice receipt:721,Invoice Receipt of Goods Receipt
goods receipt:721,payment:349,goods_receipt_pm
goods receipt:299,purchase_order:248,Good Receipts of Purchase Order
goods receipt:299,invoice receipt:299,Invoice Receipt of Goods Receipt
goods receipt:299,payment:145,goods_receipt_pm
goods receipt:223,purchase_order:192,Good Receipts of Purchase Order
goods receipt:223,invoice receipt:219,Invoice Receipt of Goods Receipt
goods receipt:223,payment:108,goods_receipt_pm
goods receipt:366,purchase_order:318,Good Receipts of Purchase Order
goods receipt:366,material:401,Materials of Goods Receipt
goods receipt:366,invoice receipt:373,Invoice Receipt of Goods Receipt
goods receipt:366,payment:182,goods_receipt_pm
goods receipt:996,purchase_order:813,Good Receipts of Purchase Order
goods receipt:996,material:1201,Materials of Goods Receipt
goods receipt:996,material:1203,Materials of Goods Receipt
goods receipt:996,invoice receipt:996,Invoice Receipt of Goods Receipt
goods receipt:996,payment:485,goods_receipt_pm
goods receipt:357,purchase_order:308,Good Receipts of Purchase Order
goods receipt:357,invoice receipt:376,Invoice Receipt of Goods Receipt
goods receipt:357,payment:185,goods_receipt_pm
goods receipt:1933,purchase_order:1592,Good Receipts of Purchase Order
goods receipt:1933,invoice receipt:1931,Invoice Receipt of Goods Receipt
goods receipt:1933,payment:923,goods_receipt_pm
goods receipt:562,purchase_order:477,Good Receipts of Purchase Order
goods receipt:562,material:688,Materials of Goods Receipt
goods receipt:562,invoice receipt:560,Invoice Receipt of Goods Receipt
goods receipt:562,payment:275,goods_receipt_pm
goods receipt:782,purchase_order:636,Good Receipts of Purchase Order
goods receipt:782,invoice receipt:776,Invoice Receipt of Goods Receipt
goods receipt:782,payment:379,goods_receipt_pm
goods receipt:1638,purchase_order:1353,Good Receipts of Purchase Order
goods receipt:1638,invoice receipt:1653,Invoice Receipt of Goods Receipt
goods receipt:1638,payment:793,goods_receipt_pm
goods receipt:27,purchase_order:26,Good Receipts of Purchase Order
goods receipt:27,invoice receipt:27,Invoice Receipt of Goods Receipt
goods receipt:27,payment:13,goods_receipt_pm
goods receipt:193,purchase_order:165,Good Receipts of Purchase Order
goods receipt:193,invoice receipt:195,Invoice Receipt of Goods Receipt
goods receipt:193,payment:101,goods_receipt_pm
goods receipt:222,purchase_order:155,Good Receipts of Purchase Order
goods receipt:222,invoice receipt:222,Invoice Receipt of Goods Receipt
goods receipt:222,payment:110,goods_receipt_pm
goods receipt:288,purchase_order:240,Good Receipts of Purchase Order
goods receipt:288,invoice receipt:288,Invoice Receipt of Goods Receipt
goods receipt:288,payment:139,goods_receipt_pm
goods receipt:75,purchase_order:52,Good Receipts of Purchase Order
goods receipt:75,material:78,Materials of Goods Receipt
goods receipt:75,invoice receipt:75,Invoice Receipt of Goods Receipt
goods receipt:75,payment:37,goods_receipt_pm
goods receipt:557,purchase_order:475,Good Receipts of Purchase Order
goods receipt:557,invoice receipt:561,Invoice Receipt of Goods Receipt
goods receipt:557,payment:280,goods_receipt_pm
goods receipt:328,purchase_order:296,Good Receipts of Purchase Order
goods receipt:328,material:437,Materials of Goods Receipt
goods receipt:328,invoice receipt:332,Invoice Receipt of Goods Receipt
goods receipt:328,payment:167,goods_receipt_pm
goods receipt:1072,purchase_order:879,Good Receipts of Purchase Order
goods receipt:1072,invoice receipt:1066,Invoice Receipt of Goods Receipt
goods receipt:1072,payment:522,goods_receipt_pm
goods receipt:966,purchase_order:799,Good Receipts of Purchase Order
goods receipt:966,material:1169,Materials of Goods Receipt
goods receipt:966,invoice receipt:949,Invoice Receipt of Goods Receipt
goods receipt:966,payment:462,goods_receipt_pm
goods receipt:252,purchase_order:226,Good Receipts of Purchase Order
goods receipt:252,invoice receipt:258,Invoice Receipt of Goods Receipt
goods receipt:252,payment:126,goods_receipt_pm
goods receipt:597,purchase_order:496,Good Receipts of Purchase Order
goods receipt:597,invoice receipt:593,Invoice Receipt of Goods Receipt
goods receipt:597,payment:291,goods_receipt_pm
