ocel_id,ocel_time,PaymentMethodZLSCH,AmountDMBTR,new_value,ocel_changed_field
payment:629,1970-01-01T00:00:00.000Z,D:Direct Debit,2850.0,,
payment:629,2024-01-11T14:48:00.000Z,,,,AmountDMBTR
payment:629,2024-01-11T14:48:00.000Z,,,,PaymentMethodZLSCH
payment:812,1970-01-01T00:00:00.000Z,D:Direct Debit,33000.0,,
payment:812,2024-06-28T21:10:00.000Z,,,,AmountDMBTR
payment:812,2024-06-28T21:10:00.000Z,,,,PaymentMethodZLSCH
payment:812,2024-07-06T14:04:00.000Z,,,,AmountDMBTR
payment:812,2024-07-06T14:04:00.000Z,,,,PaymentMethodZLSCH
payment:812,2024-07-08T11:06:00.000Z,,,,AmountDMBTR
payment:812,2024-07-08T11:06:00.000Z,,,,PaymentMethodZLSCH
payment:448,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,48850.0,,
payment:448,2023-07-22T11:31:00.000Z,,,,AmountDMBTR
payment:448,2023-07-22T11:31:00.000Z,,,,PaymentMethodZLSCH
payment:807,1970-01-01T00:00:00.000Z,D:Direct Debit,96750.0,,
payment:807,2024-06-24T16:19:00.000Z,,,,AmountDMBTR
payment:807,2024-06-24T16:19:00.000Z,,,,PaymentMethodZLSCH
payment:6,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,53700.0,,
payment:6,2022-04-26T21:23:00.000Z,,,,AmountDMBTR
payment:6,2022-04-26T21:23:00.000Z,,,,PaymentMethodZLSCH
payment:298,1970-01-01T00:00:00.000Z,C: Bank Collection,15750.0,,
payment:298,2023-02-22T12:56:00.000Z,,,,AmountDMBTR
payment:298,2023-02-22T12:56:00.000Z,,,,PaymentMethodZLSCH
payment:298,2023-02-28T22:59:00.000Z,,,,AmountDMBTR
payment:298,2023-02-28T22:59:00.000Z,,,,PaymentMethodZLSCH
payment:32,1970-01-01T00:00:00.000Z,D:Direct Debit,600.0,,
payment:32,2022-05-19T17:45:00.000Z,,,,AmountDMBTR
payment:32,2022-05-19T17:45:00.000Z,,,,PaymentMethodZLSCH
payment:67,1970-01-01T00:00:00.000Z,C: Bank Collection,84700.0,,
payment:67,2022-06-20T06:12:00.000Z,,,,AmountDMBTR
payment:67,2022-06-20T06:12:00.000Z,,,,PaymentMethodZLSCH
payment:377,1970-01-01T00:00:00.000Z,C: Bank Collection,19500.0,,
payment:377,2023-05-11T16:06:00.000Z,,,,AmountDMBTR
payment:377,2023-05-11T16:06:00.000Z,,,,PaymentMethodZLSCH
payment:152,1970-01-01T00:00:00.000Z,C: Bank Collection,90250.0,,
payment:152,2022-09-14T13:45:00.000Z,,,,AmountDMBTR
payment:152,2022-09-14T13:45:00.000Z,,,,PaymentMethodZLSCH
payment:146,1970-01-01T00:00:00.000Z,C: Bank Collection,105600.0,,
payment:146,2022-09-11T13:55:00.000Z,,,,AmountDMBTR
payment:146,2022-09-11T13:55:00.000Z,,,,PaymentMethodZLSCH
payment:672,1970-01-01T00:00:00.000Z,C: Bank Collection,2200.0,,
payment:672,2024-02-22T23:06:00.000Z,,,,AmountDMBTR
payment:672,2024-02-22T23:06:00.000Z,,,,PaymentMethodZLSCH
payment:605,1970-01-01T00:00:00.000Z,D:Direct Debit,9500.0,,
payment:605,2023-12-15T11:35:00.000Z,,,,AmountDMBTR
payment:605,2023-12-15T11:35:00.000Z,,,,PaymentMethodZLSCH
payment:368,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,51600.0,,
payment:368,2023-04-27T14:30:00.000Z,,,,AmountDMBTR
payment:368,2023-04-27T14:30:00.000Z,,,,PaymentMethodZLSCH
payment:368,2023-04-28T11:14:00.000Z,,,,AmountDMBTR
payment:368,2023-04-28T11:14:00.000Z,,,,PaymentMethodZLSCH
payment:757,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,107400.0,,
payment:757,2024-05-09T08:23:00.000Z,,,,AmountDMBTR
payment:757,2024-05-09T08:23:00.000Z,,,,PaymentMethodZLSCH
payment:599,1970-01-01T00:00:00.000Z,C: Bank Collection,85500.0,,
payment:599,2023-12-14T21:57:00.000Z,,,,AmountDMBTR
payment:599,2023-12-14T21:57:00.000Z,,,,PaymentMethodZLSCH
payment:15,1970-01-01T00:00:00.000Z,C: Bank Collection,6500.0,,
payment:15,2022-05-06T11:16:00.000Z,,,,AmountDMBTR
payment:15,2022-05-06T11:16:00.000Z,,,,PaymentMethodZLSCH
payment:113,1970-01-01T00:00:00.000Z,D:Direct Debit,57200.0,,
payment:113,2022-08-10T17:11:00.000Z,,,,AmountDMBTR
payment:113,2022-08-10T17:11:00.000Z,,,,PaymentMethodZLSCH
payment:58,1970-01-01T00:00:00.000Z,C: Bank Collection,12750.0,,
payment:58,2022-06-08T04:49:00.000Z,,,,AmountDMBTR
payment:58,2022-06-08T04:49:00.000Z,,,,PaymentMethodZLSCH
payment:835,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,259000.0,,
payment:835,2024-07-24T04:01:00.000Z,,,,AmountDMBTR
payment:835,2024-07-24T04:01:00.000Z,,,,PaymentMethodZLSCH
payment:429,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,38500.0,,
payment:429,2023-07-04T21:22:00.000Z,,,,AmountDMBTR
payment:429,2023-07-04T21:22:00.000Z,,,,PaymentMethodZLSCH
payment:551,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,9000.0,,
payment:551,2023-11-01T18:16:00.000Z,,,,AmountDMBTR
payment:551,2023-11-01T18:16:00.000Z,,,,PaymentMethodZLSCH
payment:871,1970-01-01T00:00:00.000Z,D:Direct Debit,69600.0,,
payment:871,2024-09-05T13:16:00.000Z,,,,AmountDMBTR
payment:871,2024-09-05T13:16:00.000Z,,,,PaymentMethodZLSCH
payment:871,2024-09-07T19:32:00.000Z,,,,AmountDMBTR
payment:871,2024-09-07T19:32:00.000Z,,,,PaymentMethodZLSCH
payment:871,2024-09-18T01:28:00.000Z,,,,AmountDMBTR
payment:871,2024-09-18T01:28:00.000Z,,,,PaymentMethodZLSCH
payment:833,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,80000.0,,
payment:833,2024-07-24T21:53:00.000Z,,,,AmountDMBTR
payment:833,2024-07-24T21:53:00.000Z,,,,PaymentMethodZLSCH
payment:621,1970-01-01T00:00:00.000Z,C: Bank Collection,45000.0,,
payment:621,2024-01-02T12:11:00.000Z,,,,AmountDMBTR
payment:621,2024-01-02T12:11:00.000Z,,,,PaymentMethodZLSCH
payment:699,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,20250.0,,
payment:699,2024-03-12T15:15:00.000Z,,,,AmountDMBTR
payment:699,2024-03-12T15:15:00.000Z,,,,PaymentMethodZLSCH
payment:763,1970-01-01T00:00:00.000Z,D:Direct Debit,2600.0,,
payment:763,2024-05-13T19:58:00.000Z,,,,AmountDMBTR
payment:763,2024-05-13T19:58:00.000Z,,,,PaymentMethodZLSCH
payment:763,2024-05-15T20:37:00.000Z,,,,AmountDMBTR
payment:763,2024-05-15T20:37:00.000Z,,,,PaymentMethodZLSCH
payment:763,2024-05-16T07:44:00.000Z,,,,AmountDMBTR
payment:763,2024-05-16T07:44:00.000Z,,,,PaymentMethodZLSCH
payment:763,2024-05-17T22:40:00.000Z,,,,AmountDMBTR
payment:763,2024-05-17T22:40:00.000Z,,,,PaymentMethodZLSCH
payment:701,1970-01-01T00:00:00.000Z,C: Bank Collection,33000.0,,
payment:701,2024-03-12T14:34:00.000Z,,,,AmountDMBTR
payment:701,2024-03-12T14:34:00.000Z,,,,PaymentMethodZLSCH
payment:437,1970-01-01T00:00:00.000Z,C: Bank Collection,24850.0,,
payment:437,2023-07-07T20:42:00.000Z,,,,AmountDMBTR
payment:437,2023-07-07T20:42:00.000Z,,,,PaymentMethodZLSCH
payment:310,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,79600.0,,
payment:310,2023-03-08T07:04:00.000Z,,,,AmountDMBTR
payment:310,2023-03-08T07:04:00.000Z,,,,PaymentMethodZLSCH
payment:310,2023-03-18T14:38:00.000Z,,,,AmountDMBTR
payment:310,2023-03-18T14:38:00.000Z,,,,PaymentMethodZLSCH
payment:310,2023-03-20T09:09:00.000Z,,,,AmountDMBTR
payment:310,2023-03-20T09:09:00.000Z,,,,PaymentMethodZLSCH
payment:324,1970-01-01T00:00:00.000Z,C: Bank Collection,38100.0,,
payment:324,2023-03-15T12:51:00.000Z,,,,AmountDMBTR
payment:324,2023-03-15T12:51:00.000Z,,,,PaymentMethodZLSCH
payment:237,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,90250.0,,
payment:237,2022-12-02T08:15:00.000Z,,,,AmountDMBTR
payment:237,2022-12-02T08:15:00.000Z,,,,PaymentMethodZLSCH
payment:854,1970-01-01T00:00:00.000Z,C: Bank Collection,124600.0,,
payment:854,2024-08-12T08:02:00.000Z,,,,AmountDMBTR
payment:854,2024-08-12T08:02:00.000Z,,,,PaymentMethodZLSCH
payment:854,2024-08-14T17:34:00.000Z,,,,AmountDMBTR
payment:854,2024-08-14T17:34:00.000Z,,,,PaymentMethodZLSCH
payment:128,1970-01-01T00:00:00.000Z,D:Direct Debit,42500.0,,
payment:128,2022-08-20T07:58:00.000Z,,,,AmountDMBTR
payment:128,2022-08-20T07:58:00.000Z,,,,PaymentMethodZLSCH
payment:507,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,27100.0,,
payment:507,2023-09-13T11:59:00.000Z,,,,AmountDMBTR
payment:507,2023-09-13T11:59:00.000Z,,,,PaymentMethodZLSCH
payment:553,1970-01-01T00:00:00.000Z,C: Bank Collection,21150.0,,
payment:553,2023-11-07T02:46:00.000Z,,,,AmountDMBTR
payment:553,2023-11-07T02:46:00.000Z,,,,PaymentMethodZLSCH
payment:355,1970-01-01T00:00:00.000Z,C: Bank Collection,5800.0,,
payment:355,2023-04-14T12:38:00.000Z,,,,AmountDMBTR
payment:355,2023-04-14T12:38:00.000Z,,,,PaymentMethodZLSCH
payment:781,1970-01-01T00:00:00.000Z,D:Direct Debit,7200.0,,
payment:781,2024-05-31T07:30:00.000Z,,,,AmountDMBTR
payment:781,2024-05-31T07:30:00.000Z,,,,PaymentMethodZLSCH
payment:148,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,45450.0,,
payment:148,2022-09-10T04:24:00.000Z,,,,AmountDMBTR
payment:148,2022-09-10T04:24:00.000Z,,,,PaymentMethodZLSCH
payment:30,1970-01-01T00:00:00.000Z,C: Bank Collection,30450.0,,
payment:30,2022-05-18T13:59:00.000Z,,,,AmountDMBTR
payment:30,2022-05-18T13:59:00.000Z,,,,PaymentMethodZLSCH
payment:855,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,14250.0,,
payment:855,2024-08-13T03:54:00.000Z,,,,AmountDMBTR
payment:855,2024-08-13T03:54:00.000Z,,,,PaymentMethodZLSCH
payment:776,1970-01-01T00:00:00.000Z,D:Direct Debit,18000.0,,
payment:776,2024-05-28T00:40:00.000Z,,,,AmountDMBTR
payment:776,2024-05-28T00:40:00.000Z,,,,PaymentMethodZLSCH
payment:165,1970-01-01T00:00:00.000Z,D:Direct Debit,8000.0,,
payment:165,2022-09-19T07:28:00.000Z,,,,AmountDMBTR
payment:165,2022-09-19T07:28:00.000Z,,,,PaymentMethodZLSCH
payment:659,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,7350.0,,
payment:659,2024-02-15T14:38:00.000Z,,,,AmountDMBTR
payment:659,2024-02-15T14:38:00.000Z,,,,PaymentMethodZLSCH
payment:297,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,68350.0,,
payment:297,2023-02-28T18:58:00.000Z,,,,AmountDMBTR
payment:297,2023-02-28T18:58:00.000Z,,,,PaymentMethodZLSCH
payment:297,2023-03-03T10:35:00.000Z,,,,AmountDMBTR
payment:297,2023-03-03T10:35:00.000Z,,,,PaymentMethodZLSCH
payment:248,1970-01-01T00:00:00.000Z,C: Bank Collection,283750.0,,
payment:248,2022-12-21T10:13:00.000Z,,,,AmountDMBTR
payment:248,2022-12-21T10:13:00.000Z,,,,PaymentMethodZLSCH
payment:474,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,44350.0,,
payment:474,2023-08-12T12:32:00.000Z,,,,AmountDMBTR
payment:474,2023-08-12T12:32:00.000Z,,,,PaymentMethodZLSCH
payment:474,2023-08-20T19:08:00.000Z,,,,AmountDMBTR
payment:474,2023-08-20T19:08:00.000Z,,,,PaymentMethodZLSCH
payment:201,1970-01-01T00:00:00.000Z,C: Bank Collection,77400.0,,
payment:201,2022-10-12T04:25:00.000Z,,,,AmountDMBTR
payment:201,2022-10-12T04:25:00.000Z,,,,PaymentMethodZLSCH
payment:386,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,30400.0,,
payment:386,2023-05-24T13:03:00.000Z,,,,AmountDMBTR
payment:386,2023-05-24T13:03:00.000Z,,,,PaymentMethodZLSCH
payment:560,1970-01-01T00:00:00.000Z,C: Bank Collection,6250.0,,
payment:560,2023-11-12T16:11:00.000Z,,,,AmountDMBTR
payment:560,2023-11-12T16:11:00.000Z,,,,PaymentMethodZLSCH
payment:645,1970-01-01T00:00:00.000Z,D:Direct Debit,300.0,,
payment:645,2024-02-04T08:40:00.000Z,,,,AmountDMBTR
payment:645,2024-02-04T08:40:00.000Z,,,,PaymentMethodZLSCH
payment:285,1970-01-01T00:00:00.000Z,C: Bank Collection,52800.0,,
payment:285,2023-02-10T01:36:00.000Z,,,,AmountDMBTR
payment:285,2023-02-10T01:36:00.000Z,,,,PaymentMethodZLSCH
payment:59,1970-01-01T00:00:00.000Z,D:Direct Debit,30550.0,,
payment:59,2022-06-09T20:09:00.000Z,,,,AmountDMBTR
payment:59,2022-06-09T20:09:00.000Z,,,,PaymentMethodZLSCH
payment:56,1970-01-01T00:00:00.000Z,C: Bank Collection,260100.0,,
payment:56,2022-06-11T00:24:00.000Z,,,,AmountDMBTR
payment:56,2022-06-11T00:24:00.000Z,,,,PaymentMethodZLSCH
payment:239,1970-01-01T00:00:00.000Z,C: Bank Collection,55850.0,,
payment:239,2022-12-09T06:20:00.000Z,,,,AmountDMBTR
payment:239,2022-12-09T06:20:00.000Z,,,,PaymentMethodZLSCH
payment:294,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,40500.0,,
payment:294,2023-02-24T16:15:00.000Z,,,,AmountDMBTR
payment:294,2023-02-24T16:15:00.000Z,,,,PaymentMethodZLSCH
payment:194,1970-01-01T00:00:00.000Z,C: Bank Collection,119900.0,,
payment:194,2022-10-07T00:57:00.000Z,,,,AmountDMBTR
payment:194,2022-10-07T00:57:00.000Z,,,,PaymentMethodZLSCH
payment:478,1970-01-01T00:00:00.000Z,D:Direct Debit,300.0,,
payment:478,2023-08-16T14:25:00.000Z,,,,AmountDMBTR
payment:478,2023-08-16T14:25:00.000Z,,,,PaymentMethodZLSCH
payment:671,1970-01-01T00:00:00.000Z,C: Bank Collection,135050.0,,
payment:671,2024-02-15T14:26:00.000Z,,,,AmountDMBTR
payment:671,2024-02-15T14:26:00.000Z,,,,PaymentMethodZLSCH
payment:80,1970-01-01T00:00:00.000Z,A: Bank TransferB: Check,13800.0,,
payment:80,2022-07-01T22:11:00.000Z,,,,AmountDMBTR
payment:80,2022-07-01T22:11:00.000Z,,,,PaymentMethodZLSCH
payment:400,1970-01-01T00:00:00.000Z,D:Direct Debit,58000.0,,
payment:400,2023-06-05T12:59:00.000Z,,,,AmountDMBTR
payment:400,2023-06-05T12:59:00.000Z,,,,PaymentMethodZLSCH
payment:400,2023-06-08T01:51:00.000Z,,,,AmountDMBTR
payment:400,2023-06-08T01:51:00.000Z,,,,PaymentMethodZLSCH
payment:400,2023-06-13T08:25:00.000Z,,,,AmountDMBTR
payment:400,2023-06-13T08:25:00.000Z,,,,PaymentMethodZLSCH
