ocel_id,ocel_time,PurchasingGroupEKKOEKGRP,PurchasingOrganizationEKKOEKORG,DocumentTypeEKKOBSART,ReleaseStatusEKKOFRGZU,VendorEKKOLIFNR,new_value,ocel_changed_field
purchase_order:820,1970-01-01T00:00:00.000Z,003,Global Bike Inc,Standard PO (NB),Fully Approved,Speedometer Specialists Co,,
purchase_order:820,2023-08-17T15:26:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:820,2023-08-17T15:26:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:820,2023-08-17T15:26:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:820,2023-08-17T15:26:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:820,2023-08-23T04:17:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:373,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Cable Creators Inc,,
purchase_order:373,2022-10-14T15:59:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:373,2022-10-14T15:59:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:373,2022-10-14T15:59:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:373,2022-10-14T15:59:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:373,2022-10-17T18:06:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:598,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Chain Chiefs Ltd,,
purchase_order:598,2023-03-28T19:12:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:598,2023-03-28T19:12:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:598,2023-03-28T19:12:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:598,2023-03-28T19:12:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:598,2023-03-29T19:55:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:361,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Brake Bosses Ltd,,
purchase_order:361,2022-10-10T09:31:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:361,2022-10-10T09:31:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:361,2022-10-10T09:31:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:361,2022-10-10T09:31:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:361,2022-10-13T09:43:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:840,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Valve Ventures Co,,
purchase_order:840,2023-08-23T10:18:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:840,2023-08-23T10:18:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:840,2023-08-23T10:18:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:840,2023-08-23T10:18:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:840,2023-08-31T13:38:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:611,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Chain Chiefs Ltd,,
purchase_order:611,2023-04-03T13:21:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:611,2023-04-03T13:21:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:611,2023-04-03T13:21:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:611,2023-04-03T13:21:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:611,2023-04-04T16:19:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:249,1970-01-01T00:00:00.000Z,003,Global Bike Inc,Standard PO (NB),Fully Approved,Lighting Legends Co,,
purchase_order:249,2022-08-18T09:57:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:249,2022-08-18T09:57:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:249,2022-08-18T09:57:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:249,2022-08-18T09:57:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:249,2022-08-19T11:48:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1026,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Glove Masters Ltd,,
purchase_order:1026,2023-11-30T03:40:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1026,2023-11-30T03:40:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1026,2023-11-30T03:40:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1026,2023-11-30T03:40:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1026,2023-12-04T19:24:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:505,1970-01-01T00:00:00.000Z,001,Global Bike Inc,Standard PO (NB),Fully Approved,Cycle Parts Manufacturing,,
purchase_order:505,2023-02-07T22:14:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:505,2023-02-07T22:14:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:505,2023-02-07T22:14:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:505,2023-02-07T22:14:00.000Z,,,,,,,DocumentTypeEKKOBSART
