ocel_id,ocel_time,PurchasingGroupEBANEKGRP,ReleaseIndicatorEBANFRGZU,new_value,ocel_changed_field
purchase_requisition:622:pr_trigger_622,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:622:pr_trigger_622,2023-12-17T16:35:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:622:pr_trigger_622,2023-12-19T15:29:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:727:pr_trigger_727,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:727:pr_trigger_727,2024-03-26T14:48:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:727:pr_trigger_727,2024-03-27T04:35:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:453:pr_trigger_453,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:453:pr_trigger_453,2023-07-07T09:05:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:453:pr_trigger_453,2023-07-14T09:19:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:30:pr_trigger_30,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:30:pr_trigger_30,2022-04-29T17:25:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:30:pr_trigger_30,2022-05-06T11:39:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:596:pr_trigger_596,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:596:pr_trigger_596,2023-11-24T03:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:596:pr_trigger_596,2023-11-25T11:20:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:546:pr_trigger_546,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:546:pr_trigger_546,2023-10-05T08:57:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:546:pr_trigger_546,2023-10-14T05:51:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:489:pr_trigger_489,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:489:pr_trigger_489,2023-08-11T06:07:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:429:pr_trigger_429,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:429:pr_trigger_429,2023-06-16T20:08:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:429:pr_trigger_429,2023-06-19T13:59:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:608:pr_trigger_608,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:608:pr_trigger_608,2023-12-06T00:28:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:608:pr_trigger_608,2023-12-06T12:15:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:593:pr_trigger_593,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:593:pr_trigger_593,2023-11-25T14:29:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:593:pr_trigger_593,2023-11-30T21:08:00.000Z,,,,ReleaseIndicatorEBANFRGZU
