ocel_id,ocel_time,PurchasingGroupEBANEKGRP,RFQTypeEBANBSART,PurchasingOrganizationEBANEKORG,VendorEBANLIFNR,new_value,ocel_changed_field
quotation:356,1970-01-01T00:00:00.000Z,005,AN,Global Bike Inc,Crankset Kings Ltd,,
quotation:356,2023-03-28T09:47:00.000Z,,,,,,RFQTypeEBANBSART
quotation:356,2023-03-28T09:47:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:356,2023-03-28T09:47:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:356,2023-03-28T09:47:00.000Z,,,,,,VendorEBANLIFNR
quotation:685,1970-01-01T00:00:00.000Z,004,AN,Global Bike Inc,Rim Royals Ltd,,
quotation:685,2024-02-15T15:23:00.000Z,,,,,,RFQTypeEBANBSART
quotation:685,2024-02-15T15:23:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:685,2024-02-15T15:23:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:685,2024-02-15T15:23:00.000Z,,,,,,VendorEBANLIFNR
quotation:65,1970-01-01T00:00:00.000Z,003,AN,Global Bike Inc,Cage Creators Ltd,,
quotation:65,2022-05-30T21:21:00.000Z,,,,,,RFQTypeEBANBSART
quotation:65,2022-05-30T21:21:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:65,2022-05-30T21:21:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:65,2022-05-30T21:21:00.000Z,,,,,,VendorEBANLIFNR
quotation:63,1970-01-01T00:00:00.000Z,005,AN,Global Bike Inc,Pedal Providers Co,,
quotation:63,2022-05-29T06:50:00.000Z,,,,,,RFQTypeEBANBSART
quotation:63,2022-05-29T06:50:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:63,2022-05-29T06:50:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:63,2022-05-29T06:50:00.000Z,,,,,,VendorEBANLIFNR
quotation:594,1970-01-01T00:00:00.000Z,005,AN,Global Bike Inc,Chainring Champions Inc,,
quotation:594,2023-11-25T18:49:00.000Z,,,,,,RFQTypeEBANBSART
quotation:594,2023-11-25T18:49:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:594,2023-11-25T18:49:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:594,2023-11-25T18:49:00.000Z,,,,,,VendorEBANLIFNR
quotation:343,1970-01-01T00:00:00.000Z,003,AN,Global Bike Inc,Speedometer Specialists Co,,
quotation:343,2023-03-15T23:36:00.000Z,,,,,,RFQTypeEBANBSART
quotation:343,2023-03-15T23:36:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:343,2023-03-15T23:36:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:343,2023-03-15T23:36:00.000Z,,,,,,VendorEBANLIFNR
quotation:397,1970-01-01T00:00:00.000Z,003,AN,Global Bike Inc,Speedometer Specialists Co,,
quotation:397,2023-05-17T08:01:00.000Z,,,,,,RFQTypeEBANBSART
quotation:397,2023-05-17T08:01:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:397,2023-05-17T08:01:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:397,2023-05-17T08:01:00.000Z,,,,,,VendorEBANLIFNR
quotation:911,1970-01-01T00:00:00.000Z,004,AN,Global Bike Inc,Cycle Component Corp,,
quotation:911,2024-09-26T07:56:00.000Z,,,,,,RFQTypeEBANBSART
quotation:911,2024-09-26T07:56:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:911,2024-09-26T07:56:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:911,2024-09-26T07:56:00.000Z,,,,,,VendorEBANLIFNR
quotation:56,1970-01-01T00:00:00.000Z,004,AN,Global Bike Inc,Bearing Barons Inc,,
quotation:56,2022-05-26T00:50:00.000Z,,,,,,RFQTypeEBANBSART
quotation:56,2022-05-26T00:50:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:56,2022-05-26T00:50:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:56,2022-05-26T00:50:00.000Z,,,,,,VendorEBANLIFNR
quotation:835,1970-01-01T00:00:00.000Z,001,AN,Global Bike Inc,Efficient Lighting Solutions Ltd,,
quotation:835,2024-07-10T04:05:00.000Z,,,,,,RFQTypeEBANBSART
quotation:835,2024-07-10T04:05:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:835,2024-07-10T04:05:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:835,2024-07-10T04:05:00.000Z,,,,,,VendorEBANLIFNR
quotation:878,1970-01-01T00:00:00.000Z,001,AN,Global Bike Inc,Quality Helmets Co,,
quotation:878,2024-09-02T16:18:00.000Z,,,,,,RFQTypeEBANBSART
quotation:878,2024-09-02T16:18:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:878,2024-09-02T16:18:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:878,2024-09-02T16:18:00.000Z,,,,,,VendorEBANLIFNR
quotation:149,1970-01-01T00:00:00.000Z,005,AN,Global Bike Inc,Derailleur Dynamos Co,,
quotation:149,2022-08-24T16:56:00.000Z,,,,,,RFQTypeEBANBSART
quotation:149,2022-08-24T16:56:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:149,2022-08-24T16:56:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:149,2022-08-24T16:56:00.000Z,,,,,,VendorEBANLIFNR
quotation:361,1970-01-01T00:00:00.000Z,005,AN,Global Bike Inc,Chain Chiefs Ltd,,
quotation:361,2023-04-01T13:23:00.000Z,,,,,,RFQTypeEBANBSART
quotation:361,2023-04-01T13:23:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:361,2023-04-01T13:23:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:361,2023-04-01T13:23:00.000Z,,,,,,VendorEBANLIFNR
quotation:731,1970-01-01T00:00:00.000Z,003,AN,Global Bike Inc,Lock Lords Ltd,,
quotation:731,2024-04-02T12:17:00.000Z,,,,,,RFQTypeEBANBSART
quotation:731,2024-04-02T12:17:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:731,2024-04-02T12:17:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:731,2024-04-02T12:17:00.000Z,,,,,,VendorEBANLIFNR
quotation:677,1970-01-01T00:00:00.000Z,001,AN,Global Bike Inc,Bike Components Corp,,
quotation:677,2024-02-07T17:47:00.000Z,,,,,,RFQTypeEBANBSART
quotation:677,2024-02-07T17:47:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:677,2024-02-07T17:47:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:677,2024-02-07T17:47:00.000Z,,,,,,VendorEBANLIFNR
quotation:54,1970-01-01T00:00:00.000Z,004,AN,Global Bike Inc,Valve Ventures Co,,
quotation:54,2022-05-24T19:28:00.000Z,,,,,,RFQTypeEBANBSART
quotation:54,2022-05-24T19:28:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:54,2022-05-24T19:28:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:54,2022-05-24T19:28:00.000Z,,,,,,VendorEBANLIFNR
quotation:711,1970-01-01T00:00:00.000Z,003,AN,Global Bike Inc,Pump Pros Inc,,
quotation:711,2024-03-11T18:16:00.000Z,,,,,,RFQTypeEBANBSART
quotation:711,2024-03-11T18:16:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:711,2024-03-11T18:16:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:711,2024-03-11T18:16:00.000Z,,,,,,VendorEBANLIFNR
quotation:91,1970-01-01T00:00:00.000Z,001,AN,Global Bike Inc,Advanced Bike Frames Inc,,
quotation:91,2022-06-29T21:19:00.000Z,,,,,,RFQTypeEBANBSART
quotation:91,2022-06-29T21:19:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:91,2022-06-29T21:19:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:91,2022-06-29T21:19:00.000Z,,,,,,VendorEBANLIFNR
quotation:154,1970-01-01T00:00:00.000Z,001,AN,Global Bike Inc,Bike Components Corp,,
quotation:154,2022-08-29T14:28:00.000Z,,,,,,RFQTypeEBANBSART
quotation:154,2022-08-29T14:28:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:154,2022-08-29T14:28:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:154,2022-08-29T14:28:00.000Z,,,,,,VendorEBANLIFNR
quotation:833,1970-01-01T00:00:00.000Z,002,AN,Global Bike Inc,Helmet Heroes Inc,,
quotation:833,2024-07-11T18:13:00.000Z,,,,,,RFQTypeEBANBSART
quotation:833,2024-07-11T18:13:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:833,2024-07-11T18:13:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:833,2024-07-11T18:13:00.000Z,,,,,,VendorEBANLIFNR
quotation:444,1970-01-01T00:00:00.000Z,005,AN,Global Bike Inc,Pedal Providers Co,,
quotation:444,2023-07-10T01:14:00.000Z,,,,,,RFQTypeEBANBSART
quotation:444,2023-07-10T01:14:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:444,2023-07-10T01:14:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:444,2023-07-10T01:14:00.000Z,,,,,,VendorEBANLIFNR
quotation:166,1970-01-01T00:00:00.000Z,004,AN,Global Bike Inc,Nipple Navigators Co,,
quotation:166,2022-09-10T10:21:00.000Z,,,,,,RFQTypeEBANBSART
quotation:166,2022-09-10T10:21:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:166,2022-09-10T10:21:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:166,2022-09-10T10:21:00.000Z,,,,,,VendorEBANLIFNR
quotation:614,1970-01-01T00:00:00.000Z,005,AN,Global Bike Inc,Cassette Captains Co,,
quotation:614,2023-12-12T22:32:00.000Z,,,,,,RFQTypeEBANBSART
quotation:614,2023-12-12T22:32:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:614,2023-12-12T22:32:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:614,2023-12-12T22:32:00.000Z,,,,,,VendorEBANLIFNR
quotation:857,1970-01-01T00:00:00.000Z,003,AN,Global Bike Inc,Bottle Bosses Co,,
quotation:857,2024-08-12T13:23:00.000Z,,,,,,RFQTypeEBANBSART
quotation:857,2024-08-12T13:23:00.000Z,,,,,,PurchasingOrganizationEBANEKORG
quotation:857,2024-08-12T13:23:00.000Z,,,,,,PurchasingGroupEBANEKGRP
quotation:857,2024-08-12T13:23:00.000Z,,,,,,VendorEBANLIFNR
quotation:155,1970-01-01T00:00:00.000Z,002,AN,Global Bike Inc,Pants Providers Inc,,
quotation:155,2022-08-27T01:43:00.000Z,,,,,,RFQTypeEBANBSART
